repo_full_name,claude_label,human1_label,human2_label,majority_label,human_only_label,human_disagreement
EffortlessMetrics/perl-lsp,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,TIE,true
EliFuzz/awesome-system-prompts,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
EliasOenal/multimon-ng,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
Eliezer-app/eliezer,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
Emurasoft/emurasoft.github.io,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
EpicStaff/EpicStaff,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
EternisAI/enchanted-twin,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
ExDragine/frontier,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
ExpressLRS/Docs,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
FRACerqueira/PromptPlus,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Factory-AI/factory,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
FalconChristmas/fpp,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Fannon/search-bookmarks-history-and-tabs,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
FavioVazquez/learnship,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,EXCLUDE,TIE,true
Feolius/hell2shape,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
FerroxLabs/ijfw,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
FixMyBerlin/tilda-geo,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
FlagAI-Open/FlagAI,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
FlareCoding/StelluxOS,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
FlipForensics/AIFT,CONVENTIONAL_SOFTWARE,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Frankieli123/dokploy-i18n,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
GalacticDynamics/coordinax,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Gerstep/HumanCompiler,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Gijsreyn/bicep-ext-databricks,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,EXCLUDE,TIE,true
GitGuardian/ggmcp,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Godzilla675/clip-js-copilot,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
GoldenPotato137/PotatoVN,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
GongLingRui/juben,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
GoodStartLabs/AI_Diplomacy,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
GoogleCloudPlatform/kubernetes-engine-samples,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
GoogleCloudPlatform/vertex-ai-creative-studio,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,TIE,true
GraflowAI/graflow,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
GreenteaOS/Caramel,EXCLUDE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
GregorStocks/mage-bench,AI_PRODUCT,AI_PRODUCT,CONVENTIONAL_SOFTWARE,AI_PRODUCT,TIE,true
Gremlinq/ExRam.Gremlinq,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
GuilhermeAlbert/awesome-ai-conventions,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
HBAI-Ltd/Toonflow-app,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
HKUDS/OpenHarness,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Hacksore/cursed-repo,EXCLUDE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
HaiNinh1/oh-my-opencode,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
HeartWise-AI/DeepCORO_CLIP,EXCLUDE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,TIE,TIE,true
HelpCode-ai/anythingmcp,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
HenryLach/taskplane,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
HewlettPackard/llmesh,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
HillPhelmuth/AdventuresInSemanticKernel,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Hive-Academy/roocode-generator,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
HiveTrace/HiveTraceRed,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
HomericIntelligence/ProjectOdyssey,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Horace-Maxwell/horosa-skill,EXCLUDE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,TIE,TIE,true
HorusGoul/eslint-plugin-react-render-types,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Houseofmvps/codesight,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
HybridWare/hybrid-browser,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
HyperbolicLabs/Hyper-dOS,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
InsightSoftwareConsortium/ITK,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
IstiN/yoloit,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
JKorf/Mexc.Net,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
JMBeresford/retrom,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
JUVOJustin/astrojs-wp-integration,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
JackHopkins/factorio-learning-environment,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
JamesPaynter/mycelium,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
Jamkris/everything-gemini-code,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
JeremyDev87/codingbuddy,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
JetBrains-Research/lca-baselines,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
JetBrains-Research/verified-cogen,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
JetBrains/intellij-community,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
JetBrains/koog,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
JetBrains/youtrackdb,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
