repo_full_name,primary_label,confidence,evidence_notes
2030ai/2030ai-claudecode-allecosystem-sync,AI_PRODUCT,high,Skill and MCP sync tooling for Claude Code/Codex/Cursor.
Cloud-Solutions-International/antikythera,CONVENTIONAL_SOFTWARE,medium,Automated test generation for Spring apps; developer tool not clearly AI-system tooling.
BUZZARDGTA/Session-Sniffer,CONVENTIONAL_SOFTWARE,high,Packet sniffer for P2P games; ordinary security/networking utility.
FerroxLabs/ijfw,AI_PRODUCT,high,Infrastructure for AI coding agents with memory, routing, and MCP server.
ModelTC/LightX2V,AI_PRODUCT,medium,Image/video generation inference framework; tooling for AI model/generation workflows.
KyaniteLabs/mcp-video,AI_PRODUCT,high,MCP server and tooling for AI agents to perform video editing.
MarimerLLC/rockbot,CONVENTIONAL_SOFTWARE,medium,Autonomous personal agent; appears to be end-user/personal agent app rather than AI-builder infrastructure.
BintzGavin/helios,CONVENTIONAL_SOFTWARE,high,Programmatic video creation library/tool using web technologies, not AI-specific.
NFDI4Chem/nmrxiv,CONVENTIONAL_SOFTWARE,high,Scientific data repository/platform for NMR data.
PrestaShop/hummingbird,CONVENTIONAL_SOFTWARE,high,PrestaShop ecommerce theme.
EvolvingAgentsLabs/llmos,AI_PRODUCT,medium,OS simulation example under EvolvingAgents; likely AI-agent/LLM operating-system artifact.
Kevandrew/sophia,AI_PRODUCT,high,Validation/version-control tool for AI-generated code; consumers are AI-code workflow users.
Autonoma-Labs/Open-CoWork,EXCLUDE,low,No description or topics; name suggests AI cowork app but metadata is insufficient.
Automattic/newspack-workspace,CONVENTIONAL_SOFTWARE,high,Automattic/Newspack production workspace, ordinary software repository.
Alexli18/binex,AI_PRODUCT,high,Runtime for AI agent workflows with DAG pipelines and replayable runs.
AlexChesser/ail,EXCLUDE,medium,Description is non-diagnostic; insufficient evidence.
NiaExperience/PearlOS,CONVENTIONAL_SOFTWARE,medium,AI companion/interface product for users; AI-central end-user app.
Alfanous-team/alfanous,CONVENTIONAL_SOFTWARE,medium,Arabic Quran search engine API; MCP topic is secondary/ambiguous.
PostHog/DeskHog,CONVENTIONAL_SOFTWARE,high,Developer toy/hardware/software product, not AI tooling.
PulkitXChadha/awesome-databricks-mcp,EXCLUDE,high,Awesome-list style repository; not a software product.
Puzzaks/PAIOS,CONVENTIONAL_SOFTWARE,medium,Offline Gemini Nano AI interface for users; AI-central end-user app.
Hacksore/cursed-repo,EXCLUDE,medium,Description is joke/non-diagnostic; insufficient evidence.
PaulJPhilp/effect-cli-tui,EXCLUDE,medium,No description or topics; insufficient evidence.
Fannon/search-bookmarks-history-and-tabs,CONVENTIONAL_SOFTWARE,high,Browser extension for searching bookmarks/history/tabs; ordinary end-user software.

