repo_full_name,repo_url,stars,primary_language,github_description,github_topics,detected_instruction_artifacts,ci_evidence,release_evidence,inspector2_label,inspector2_confidence,inspector2_evidence_sources,inspector2_functional_note,inspector2_free_notes
HiveTrace/HiveTraceRed,https://github.com/HiveTrace/HiveTraceRed,27,Python,,,"{""matched_paths"": [""datasets/system_prompt_extraction_ru.csv""], ""queries"": [""system_prompt.*""]}",.github/workflows; tests/,tags=1; releases=1,,,,,
JamesPaynter/mycelium,https://github.com/JamesPaynter/mycelium,45,TypeScript,,,"{""matched_paths"": [""docs/tasks/archive/022-add-planner-prompt-templates/lessons-learned.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; test/,tags=1; releases=1,,,,,
Lakr233/FlowDown,https://github.com/Lakr233/FlowDown,1113,Swift,https://flowdown.ai/,,"{""matched_paths"": [""LandingPage/src/app/docs/documents/configuration/system_prompts.md""], ""queries"": [""system_prompt.*""]}",.github/workflows,tags=1; releases=1,,,,,
LessUp/awesome-cursorrules-zh,https://github.com/LessUp/awesome-cursorrules-zh,202,JavaScript,Cursor AI 编程规则精选集 | 132+ 规则，覆盖前端/后端/AI/DevOps 等 32 个领域,ai|ai-assistant|ai-coding|awesome-list|bilingual|chinese|code-generation|cursor|cursor-ai|cursorrules|developer-tools|documentation|openspec|prompt-engineering|rules|vitepress,"{""matched_paths"": [""docs/rules/ai/photonic-neural-network/.cursorrules"", ""docs/rules/blockchain/advanced-protocols/.cursorrules"", ""docs/rules/blockchain/solidity/foundry/.cursorrules"", ""docs/rules/database/spatiotemporal/.cursorrules"", ""docs/rules/devops/github-code-quality/.cursorrules"", ""docs/rules/devops/serverless/.cursorrules"", ""docs/rules/emerging-tech/quantum-computing/.cursorrules"", ""docs/rules/frontend/react/nextjs-tailwind/.cursorrules"", ""docs/rules/general/code-style/.cursorrules"", ""docs/rules/hardware/carbon-chip/.cursorrules"", ""docs/rules/industrial/automation/.cursorrules"", ""docs/rules/quantum/superconducting-computing/.cursorrules"", ""docs/rules/security/zero-trust/.cursorrules""], ""queries"": ["".cursorrules""]}",.github/workflows; tests/,tags=1; releases=1,,,,,
Li-Bailiang/prompt-refine-skill,https://github.com/Li-Bailiang/prompt-refine-skill,84,Python,Agent Skill that silently refines prompts for the currently running model,agent-skill|agent-skills|ai-tools|prompt-engineering|prompt-refine,"{""matched_paths"": [""strategies/google-gemini.md""], ""queries"": [""GEMINI.md""]}",.github/workflows,tags=1; releases=1,,,,,
LiPu-jpg/Openwrite,https://github.com/LiPu-jpg/Openwrite,150,Python,AI小说创作引擎 - 对话式引导创建项目、动态+静态文件防遗忘、多维风格提取与合成、通用技法质量审核、热门题材查看分析、多层渐进式压缩长文本 支持：四级大纲(总纲→篇→节→章)、三层风格合成、伏笔DAG管理、情节弧线-节拍模板驱动写作、去AI味技法,ai-novel|story-writing|writing-assistant,"{""matched_paths"": [""skills/style-system/prompts/batch_extract_style.md""], ""queries"": [""*.prompt.md""]}",tests/,,,,,,
MaoXiaoYuZ/Long-Novel-GPT,https://github.com/MaoXiaoYuZ/Long-Novel-GPT,1155,Python,该项目包括一个基于 GPT 等大语言模型的长篇小说生成器，同时还有各类小说生成 Prompt 以及教程。我们欢迎社区贡献，持续更新以提供最佳的小说创作体验。,ai|chatgpt|gpt|llm|novel,"{""matched_paths"": [""prompts/\u521b\u4f5c\u6b63\u6587/system_prompt.txt"", ""prompts/\u521b\u4f5c\u6b63\u6587/\u683c\u5f0f\u5316\u6b63\u6587.txt""], ""queries"": [""prompts/"", ""system_prompt.*""]}",tests/,,,,,,
Menghuan1918/drawio2go,https://github.com/Menghuan1918/drawio2go,209,TypeScript,"A modern DrawIO editor application.  AI-Powered, Human-AI Collaboration | AI 加持，人机共绘drawio",ai|ai-agents|drawio|mcp|mcp-server,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,,,,,
MinLL/MinAI,https://github.com/MinLL/MinAI,48,PHP,Bridge between LLMs and various Skyrim Mods,,"{""matched_paths"": [""minai_plugin/contextbuilders/system_prompt_context.php""], ""queries"": [""system_prompt.*""]}",.github/workflows,tags=1; releases=1,,,,,
NVIDIA/skills,https://github.com/NVIDIA/skills,1318,Python,AI agent skills published by NVIDIA,,"{""matched_paths"": [""skills/physical-ai-video-data-augmentation/assets/cookbooks/warehouse/augmentation/prompts/template_generation_system_prompt.md""], ""queries"": [""system_prompt.*""]}",.github/workflows,,,,,,
Nimble-Co/FoundryVTT-Nimble,https://github.com/Nimble-Co/FoundryVTT-Nimble,23,TypeScript,,,"{""matched_paths"": ["".clinerules"", "".windsurfrules""], ""queries"": ["".clinerules"", "".windsurfrules""]}",.github/workflows; tests/,tags=1; releases=1,,,,,
OWASP/www-project-top-10-for-large-language-model-applications,https://github.com/OWASP/www-project-top-10-for-large-language-model-applications,1295,Python,OWASP Top 10 for Large Language Model Apps (Part of the GenAI Security Project),ai|appsec|llm|llm-security,"{""matched_paths"": [""Archive/2_0_candidates/JohnSotiropoulos_VulnerableAutonomousAgents.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,,,,,
OfficeDev/microsoft-365-agents-toolkit-samples,https://github.com/OfficeDev/microsoft-365-agents-toolkit-samples,489,TypeScript,Scenario-focused sample applications that help you get started with building Microsoft Teams App.,,"{""matched_paths"": [""ProxyAgent-Python/copilot-instructions.md""], ""queries"": [""copilot-instructions.md""]}",.github/workflows,tags=1; releases=0,,,,,
OpenCSGs/csghub-server,https://github.com/OpenCSGs/csghub-server,1070,Go,"csghub-server is the backend server for CSGHub which helps user to manage datasets, modes, and also run Model Inference, Finetune and Application Spaces.",ai|datasets|golang|huggingface|llm|models|platform,"{""matched_paths"": [""builder/store/database/migrations/20260513000000_add_guard_llm_system_prompt_to_prompt_prefixes.up.sql""], ""queries"": [""system_prompt.*""]}",.gitlab-ci.yml; go.mod,tags=1; releases=1,,,,,
OtterMind/youclaw,https://github.com/OtterMind/youclaw,718,TypeScript,"🦞 Your AI Personal Assistant.  An intelligent assistant with memory, skills, and scheduled tasks that truly understands you . Helping you tackle everything in work and life.",ai|ai-agent|claude|claude-code|openclaw,"{""matched_paths"": [""prompts/env.md""], ""queries"": [""prompts/""]}",.github/workflows; tests/,tags=1; releases=1,,,,,
OvertliDS/overtli-studio-suite,https://github.com/OvertliDS/overtli-studio-suite,14,Python,"A ComfyUI suite of nodes for Pollinations, LM Studio, Copilot CLI, and OpenAI-compatible generation with prompt enhancing, image gen, video gen, speech/audio gen, for local/cloud multi-engine workflows.",ai|comfyui|comfyui-api|comfyui-custom-node|comfyui-nodes|copilot-cli|github-copilot|github-copilot-cli|image-generation|llm|lm-studio|openai-compatible|overtlids|pollinations-ai|prompt-enhancement|speech-to-text|text-to-audio|text-to-music|text-to-speech|video-generation,"{""matched_paths"": [""instruction_modes/system_prompts.py""], ""queries"": [""system_prompt.*""]}",.github/workflows; pytest.ini,tags=1; releases=0,,,,,
Owl-Listener/ai-design-skills,https://github.com/Owl-Listener/ai-design-skills,125,Python,"AI Design Skills Collection: agentic skills, commands, and plugins for designing AI products — from interaction patterns to alignment, evaluation, agent orchestration, and prompt architecture.",,"{""matched_paths"": [""gemini-extension/model-interaction-design/GEMINI.md""], ""queries"": [""GEMINI.md""]}",.github/workflows,,,,,,
Oyl-Wallet/oyl-amm,https://github.com/Oyl-Wallet/oyl-amm,11,Rust,,,"{""matched_paths"": ["".clinerules""], ""queries"": ["".clinerules""]}",.github/workflows; Cargo.toml,tags=1; releases=1,,,,,
Paperspace/cli,https://github.com/Paperspace/cli,12,TypeScript,The CLI for Paperspace ,ai|cli|cloud|gpu|llm|paperspace,"{""matched_paths"": [""prompts/confirm.ts""], ""queries"": [""prompts/""]}",.github/workflows; test/,tags=1; releases=1,,,,,
Peuqui/AIfred-Intelligence,https://github.com/Peuqui/AIfred-Intelligence,32,Python,"🤵 AIfred-Intelligence — self-hosted Multi-Agent Assistant with Debate Modes (Symposion/Tribunal), Voice (STT + Streaming-TTS), RAG with Long-Term Memory, Web Research and Tool-Calling. Reachable via Web-UI or Telegram/Discord/Email/EPIM. Multi-Backend: llama-swap, Ollama, vLLM, TabbyAPI.",ai|ai-assistant|chain-of-thought|chatbot|chromadb|llm|local-llm|multi-agent|ocr|ollama|python|rag|reflex|self-hosted|text-to-speech|tts|voice-assistant|voice-cloning|web-scraping|whisper,"{""matched_paths"": [""prompts/de/codine/memory_context.txt"", ""prompts/en/hal/identity.txt"", ""prompts/en/shared/workspace_instructions.txt""], ""queries"": [""prompts/""]}",.github/workflows; tests/,tags=1; releases=0,,,,,
PlanExeOrg/PlanExe,https://github.com/PlanExeOrg/PlanExe,384,Python,Create a plan from a description in minutes,agi|ai|ai-planning|llamaindex|mcp|ollama|openrouter|pddl|planner|planning|planning-algorithms|pmbok,"{""matched_paths"": [""experiments/napkin_math/.claude/skills/generate-calculations/system-prompt.txt""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=0,,,,,
Prismer-AI/Prismer,https://github.com/Prismer-AI/Prismer,781,TypeScript,Open Source Research Claw,,"{""matched_paths"": [""CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows,tags=1; releases=1,,,,,
ROCm/hipDNN,https://github.com/ROCm/hipDNN,57,C++,[DEPRECATED] Moved to ROCm/rocm-libraries repo,,"{""matched_paths"": ["".clinerules""], ""queries"": ["".clinerules""]}",tests/,tags=1; releases=1,,,,,
RYOITABASHI/Shelly,https://github.com/RYOITABASHI/Shelly,33,TypeScript,"AI-powered chat-first terminal IDE for Android. Built entirely on a phone, by someone who can't write code.",ai|android|chat-ui|claude|claude-code|expo|gemini-cli|ide|kotlin|llm|mobile-development|open-source|react-native|terminal|termux|typescript|vibe-coding,"{""matched_paths"": [""lib/shelly-system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows; __tests__/,tags=1; releases=1,,,,,
