schema_version,repo_full_name,repo_url,stars,primary_language,github_description,github_topics,detected_instruction_artifacts,ci_evidence,release_evidence,agent_product_flag,sample_stratum,label,confidence,evidence_notes,annotator_id,annotation_round,adjudication_status,adjudicated_label,adjudication_notes
0.1,9mtm/Agent-Player,https://github.com/9mtm/Agent-Player,11,TypeScript,Open-source AI desktop assistant — run local or remote LLMs with privacy-first design and zero setup required.,ai-agent|ai-assistant|ai-assistant-offline|ai-automation|cross-platform|desktop-app|developer-tools|encrypted-storage|open-source|productivity|self-hosted,"{""matched_paths"": [""packages/backend/src/tools/system-prompts.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=1,true,stars:10-49|artifact:system-prompt.*|agent_flag:true,,,,,,,,
0.1,AI-Escape/open-ice,https://github.com/AI-Escape/open-ice,25,TypeScript,,,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,true,stars:10-49|artifact:AGENTS.md|agent_flag:true,,,,,,,,
0.1,AI-Planning/l2p,https://github.com/AI-Planning/l2p,58,Python,Library for LLM-driven action model acquisition via natural language,llm|nlp|pddl,"{""matched_paths"": [""l2p/templates/custom/prompt_initial_goal_metric.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:50-199|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,AI45Lab/Code,https://github.com/AI45Lab/Code,137,Rust,Agentic Agent Framework,,"{""matched_paths"": [""core/prompts/analysis/intent_classify_system.md"", ""core/prompts/common/boundaries.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; Cargo.toml,tags=1; releases=1,true,stars:50-199|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,AIDotNet/OpenCowork,https://github.com/AIDotNet/OpenCowork,485,TypeScript,Open Cowork - Opensource Claude Cowork for Windows & macOS & Linux. ,,"{""matched_paths"": [""src/renderer/src/lib/agent/system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:system-prompt.*|agent_flag:true,,,,,,,,
0.1,AISecurityConsortium/AIGoat,https://github.com/AISecurityConsortium/AIGoat,63,JavaScript,AIGoat - Open-source AI security playground for LLM red teaming. AI Goat provides hands-on labs covering the full OWASP LLM Top 10 with progressive defenses.,ai-goat|ai-playground|ai-security|ai-security-lab|ai-vulnerabilities|aigoat|ctf-challenges|llm-attacks|llm-red-teaming|llm-security|owasp-llm|prompt-injection|prompt-injection-testing|red-teaming,"{""matched_paths"": [""prompts/challenges/c4_context_override.md"", ""prompts/labs/excessive_agency.md""], ""queries"": [""*.prompt.md"", ""prompts/""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:50-199|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,AIStoryBuilders/AIStoryBuilders,https://github.com/AIStoryBuilders/AIStoryBuilders,67,C#,Write your next novel faster and easier,ai|azure-open-ai|chatgpt|llm|open-ai|writing-application|writing-software|writing-tool,"{""matched_paths"": [""wiki-content/Anatomy-Of-A-Prompt.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,AIrjen/OneButtonPrompt,https://github.com/AIrjen/OneButtonPrompt,1065,Python,One Button Prompt,,"{""matched_paths"": [""user_guides/workflow_assist_and_prompt_variant_mode.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,,true,stars:1000+|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,ALT-F4-LLC/dotfiles.vorpal,https://github.com/ALT-F4-LLC/dotfiles.vorpal,17,Rust,Vorpal dotfiles for TheAltF4Stream.,vorpal,"{""matched_paths"": [""docs/changelog/skills/evolve-agents.md""], ""queries"": [""AGENTS.md""]}",.github/workflows; Cargo.toml; tests/,,true,stars:10-49|artifact:AGENTS.md|agent_flag:true,,,,,,,,
0.1,AMAP-EAI/Nav-R2,https://github.com/AMAP-EAI/Nav-R2,20,Python,Official Implementation of paper: [Nav-R2:Dual‑Relation Reasoning for Generalizable Open‑Vocabulary Object‑Goal Navigation],,"{""matched_paths"": [""environment-modules-customed/transformers_4.51.3-xwt-customed/transformers/docs/source/zh/agents.md""], ""queries"": [""AGENTS.md""]}",tests/,,true,stars:10-49|artifact:AGENTS.md|agent_flag:true,,,,,,,,
0.1,ARCLab-MIT/kspdg,https://github.com/ARCLab-MIT/kspdg,27,Python,ARCLab-MIT participation in the KSPDG challenge,,"{""matched_paths"": [""arclab_mit/system_prompt.md""], ""queries"": [""system_prompt.*""]}",tests/,tags=1; releases=0,true,stars:10-49|artifact:system_prompt.*|agent_flag:true,,,,,,,,
0.1,ARPAHLS/OPSIE,https://github.com/ARPAHLS/OPSIE,27,Python,An advanced Self-Centered Intelligence (SCI) prototype that represents a new paradigm in AI-human interaction.,agentic-rag|agents|ai|api|arpa|autonomous-agents|llm|local-ai|mcp|ml|multimodal|ollama|opsie|rag|self-hosted|sql,"{""matched_paths"": [""docs/PROMPTS_AND_SOULSIG.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,true,stars:10-49|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,ActiveInferenceInstitute/GEO-INFER,https://github.com/ActiveInferenceInstitute/GEO-INFER,11,HTML,,,"{""matched_paths"": [""GEO-INFER-ACT/.cursorrules"", ""GEO-INFER-EXAMPLES/examples/module_orchestrators/HEALTH/AGENTS.md"", ""GEO-INFER-RISK/examples/AGENTS.md"", ""GEO-INFER-SPM/.cursorrules""], ""queries"": ["".cursorrules"", ""AGENTS.md""]}",.github/workflows,,true,stars:10-49|artifact:.cursorrules|agent_flag:true,,,,,,,,
0.1,Affitor/affiliate-skills,https://github.com/Affitor/affiliate-skills,474,HTML,"50 AI agent skills for affiliate marketing. Research trending content, write data-backed posts, generate infographics, build landing pages, deploy — full flywheel with social intelligence. Works with Claude Code, Pi, ChatGPT, Gemini, Cursor, Windsurf, any AI.",affiliate-marketing|agent-skills|ai|ai-agents|chatgpt|claude|claude-code|content-marketing|cursor|gemini|influencer|llm|marketing|open-source|saas|seo|skill-md|social-media|tiktok|youtube,"{""matched_paths"": ["".cursorrules""], ""queries"": ["".cursorrules""]}",.github/workflows; tests/; spec/,,true,stars:200-999|artifact:.cursorrules|agent_flag:true,,,,,,,,
0.1,Ageniti/Ageniti,https://github.com/Ageniti/Ageniti,30,JavaScript,"A standard SDK for building agent-facing apps across MCP, CLI, React, and AI tool stacks.",agent|agents|app|cli|cli-app|developer-tools|mcp|mcp-server|sdk|sdk-js|typescript,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows; test/,,true,stars:10-49|artifact:AGENTS.md|agent_flag:true,,,,,,,,
0.1,Agent-Threat-Rule/agent-threat-rules,https://github.com/Agent-Threat-Rule/agent-threat-rules,258,TypeScript,"Open detection standard -- like Sigma, but for AI agents. 425 rules, shipped in Microsoft AGT, Cisco AI Defense, MISP, OWASP A-S-R-H. 97.1% recall on NVIDIA garak. NIST OSCAL Path 1.",agent-security|agent-threat-rules|ai-security|garak|llm-security|mcp-security|owasp|owasp-agentic|prompt-injection|sigma-rules|threat-detection,"{""matched_paths"": [""data/skills-sh/skills/github/suggest-awesome-github-copilot-instructions.md"", ""rules/context-exfiltration/ATR-2026-00275-system-prompt-training-data-extraction.yaml""], ""queries"": [""copilot-instructions.md"", ""system-prompt.*""]}",.github/workflows; tests/; spec/,tags=1; releases=1,true,stars:200-999|artifact:copilot-instructions.md|agent_flag:true,,,,,,,,
0.1,AgentOps-AI/agentops,https://github.com/AgentOps-AI/agentops,5643,Python,"Python SDK for AI agent monitoring, LLM cost tracking, benchmarking, and more. Integrates with most LLMs and agent frameworks including CrewAI, Agno, OpenAI Agents SDK, Langchain, Autogen, AG2, and CamelAI",agent|agentops|agents-sdk|ai|anthropic|autogen|cost-estimation|crewai|evals|evaluation-metrics|groq|langchain|llm|mistral|ollama|openai|openai-agents,"{""matched_paths"": [""docs/v2/examples/openai_agents.mdx""], ""queries"": [""AGENTS.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:1000+|artifact:AGENTS.md|agent_flag:true,,,,,,,,
0.1,AgentWrapper/agent-orchestrator,https://github.com/AgentWrapper/agent-orchestrator,7599,TypeScript," Agentic orchestrator for parallel coding agents — plans tasks, spawns agents, and autonomously handles CI    fixes, merge conflicts, and code reviews.",agent-fleet|agent-swarm|claude-code|codex-cli|git-worktrees|multi-agent|orchestration|orchestrator|parallel-agents|parallel-coding|skills|tmux,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": [""copilot-instructions.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:1000+|artifact:copilot-instructions.md|agent_flag:true,,,,,,,,
0.1,Agents2AgentsAI/ata,https://github.com/Agents2AgentsAI/ata,90,Rust,AI agents for solving engineering and research problems end to end,,"{""matched_paths"": [""codex-rs/core/templates/research/researcher_system_prompt.md""], ""queries"": [""system_prompt.*""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:system_prompt.*|agent_flag:true,,,,,,,,
0.1,AgiFlow/aicode-toolkit,https://github.com/AgiFlow/aicode-toolkit,159,TypeScript,Toolkit for Coding Agents to work reliably with repo of any size.,full-stack|mcp-server|programming|vibecoding,"{""matched_paths"": [""packages/scaffold-mcp/src/instructions/prompts/scaffold-application.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,Agnuxo1/OpenCLAW-P2P,https://github.com/Agnuxo1/OpenCLAW-P2P,44,TypeScript,"Decentralized Autonomous Research Collective. Lean 4-verified, IPFS-backed, agent-native. Production paper: arXiv:2604.19792. Live at p2pclaw.com.",ai-agents|autonomous-agents|decentralized|decentralized-science|formal-verification|ipfs|lean4|multi-agent|p2p|peer-review,"{""matched_paths"": [""paperclaw/integrations/aider/.aider.conf.yml""], ""queries"": ["".aider.conf.yml""]}",.github/workflows,tags=1; releases=0,true,stars:10-49|artifact:.aider.conf.yml|agent_flag:true,,,,,,,,
0.1,Agoric/agoric-sdk,https://github.com/Agoric/agoric-sdk,354,TypeScript,monorepo for the Agoric Javascript smart contract platform,,"{""matched_paths"": ["".aiderignore""], ""queries"": ["".aiderignore""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:.aiderignore|agent_flag:true,,,,,,,,
0.1,AlbertoUAH/datos-gob-es-mcp,https://github.com/AlbertoUAH/datos-gob-es-mcp,17,Python,,,"{""matched_paths"": [""prompts/__init__.py""], ""queries"": [""prompts/""]}",.github/workflows; pytest.ini; tests/,tags=1; releases=1,true,stars:10-49|artifact:prompts/|agent_flag:true,,,,,,,,
0.1,AlexChesser/ail,https://github.com/AlexChesser/ail,38,Rust,Alexander's Impressive Loops,,"{""matched_paths"": [""demo/superpowers/prompts/writing-plans-system.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; Cargo.toml; spec/,tags=1; releases=1,true,stars:10-49|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,Alexli18/binex,https://github.com/Alexli18/binex,62,Python,"Debuggable runtime for AI agent workflows. DAG pipelines, artifact lineage, and replayable runs.",agent-framework|ai|ai-agents|automation|dag|litellm|llm|orchestration|workflow,"{""matched_paths"": [""src/binex/prompts/edu-essay-evaluator-encouraging.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:50-199|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,Alfanous-team/alfanous,https://github.com/Alfanous-team/alfanous,285,Python,"Alfanous is an Arabic search engine API provides the simple and advanced search in Quran , more features and many interfaces...",api|arabic|indexing|mcp|mcp-server|python|quran|search-engine,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md"", ""copilot-instructions.md""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:.github/copilot-instructions.md|agent_flag:true,,,,,,,,
0.1,Alireza29675/yar-agent,https://github.com/Alireza29675/yar-agent,16,TypeScript,Yar — Understand Complex Codebases Fast ⚡ 🚀,agent|claude-agent-sdk|code-analysis|code-understanding|yar,"{""matched_paths"": [""src/prompts/tasks/timeline.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,true,stars:10-49|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,AlphaBitCore/nexus-gateway,https://github.com/AlphaBitCore/nexus-gateway,18,Go,"Enterprise AI traffic gateway — unified compliance, routing across 20+ LLM providers, semantic cache, quotas, and audit. SDK / network / OS-layer intercept.",ai-gateway|anthropic|audit|bedrock|compliance|enterprise|gemini|golang|llm|llm-gateway|mitm-proxy|observability|openai|openai-compatible|pii-detection|quota|rate-limiting|routing|self-hosted|semantic-cache,"{""matched_paths"": ["".cursor/rules/ne-fail-open.mdc""], ""queries"": ["".cursor/rules""]}",.github/workflows; tests/,,true,stars:10-49|artifact:.cursor/rules|agent_flag:true,,,,,,,,
0.1,AngelMunoz/Kipo,https://github.com/AngelMunoz/Kipo,21,F#,An RPG-like Game prototype written in F# and Monogame,2d|3d|dotnet|ecs|fsharp|gamedev|isometric|monogame|prototype,"{""matched_paths"": [""GEMINI.md""], ""queries"": [""GEMINI.md""]}",.github/workflows,tags=1; releases=1,true,stars:10-49|artifact:GEMINI.md|agent_flag:true,,,,,,,,
0.1,Anson-Trio/BaiShou-Next,https://github.com/Anson-Trio/BaiShou-Next,27,TypeScript,用纯白誓约，守护彼此一生,,"{""matched_paths"": [""apps/desktop/src/main/ipc/build-agent-system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=1,true,stars:10-49|artifact:system-prompt.*|agent_flag:true,,,,,,,,
0.1,Antvirf/stui,https://github.com/Antvirf/stui,22,Go,Terminal user interface for Slurm HPC clusters,go|gui|hpc|slurm|tui|tview,"{""matched_paths"": ["".clinerules""], ""queries"": ["".clinerules""]}",.github/workflows; go.mod,tags=1; releases=1,true,stars:10-49|artifact:.clinerules|agent_flag:true,,,,,,,,
0.1,Arcanyx-org/NiXium,https://github.com/Arcanyx-org/NiXium,47,Nix,Open-Source Infrastructure as Code Management Solution for Multiple Systems designed to be reliable in mission-critical tasks on paranoid and high-security environment.,disko|flake-parts|home-manager|kreyren|nix|nixium,"{""matched_paths"": ["".opencode.legacy/quests/07-claude-system-prompt-analysis/system-prompt-override.md""], ""queries"": [""system-prompt.*""]}",.github/workflows,,true,stars:10-49|artifact:system-prompt.*|agent_flag:true,,,,,,,,
0.1,Archeb/CyberGroupmate,https://github.com/Archeb/CyberGroupmate,184,TypeScript,Code-Driven Social Agent,,"{""matched_paths"": [""system-prompts/meta-agent/proactive-idle.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; tests/,,true,stars:50-199|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,ArdentAILabs/DE-Bench,https://github.com/ArdentAILabs/DE-Bench,34,Python,DE Bench: Can Agents Solve Real-World Data Engineering Problems? Built to test Ardent's AI Data Engineer,,"{""matched_paths"": ["".cursor/rules/coding.mdc""], ""queries"": ["".cursor/rules""]}",.github/workflows; pytest.ini,,true,stars:10-49|artifact:.cursor/rules|agent_flag:true,,,,,,,,
0.1,Arenukvern/mcp_flutter,https://github.com/Arenukvern/mcp_flutter,327,Dart,MCP Toolkit for Flutter AI Agent Driven Development (MCP/CLI + custom client side tools) - via closed feedback loop (visual & semantic snapshot) and high client side customization adaptable for any Flutter app. Nowadays it is often called as agentic harness.,ai|dart|dynamic-tools|flutter|harness-engineering|harness-execution-layer|harness-framework|mcp|mcp-client|mcp-server|mcp-toolkit|mcp-tools,"{""matched_paths"": ["".clinerules""], ""queries"": ["".clinerules""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:.clinerules|agent_flag:true,,,,,,,,
0.1,Arindam200/awesome-ai-apps,https://github.com/Arindam200/awesome-ai-apps,12860,Python,"A collection of projects showcasing RAG, agents, workflows, and other AI use cases",agents|ai|hacktoberfest|llm|mcp,"{""matched_paths"": [""advance_ai_agents/deep_research_writing_agents_nebius_okahu/implement_yourself/tasks/006-add-research-workflow-prompt.groomed.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,,true,stars:1000+|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,ArisGuimera/MobiAI-Core,https://github.com/ArisGuimera/MobiAI-Core,392,Go,,,"{""matched_paths"": [""GEMINI.md""], ""queries"": [""GEMINI.md""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:GEMINI.md|agent_flag:true,,,,,,,,
0.1,Arize-ai/client_python,https://github.com/Arize-ai/client_python,58,Python,A Python client to interact with Arize API,ai-monitoring|ai-observability|ai-roi|data-quality-monitoring|drift-monitoring|ml-monitoring|ml-observability|model-explainability|model-monitoring|model-performance-management|performance-monitoring,"{""matched_paths"": [""docs/source/prompts.md"", ""src/arize/_generated/api_client/docs/PromptVersionCreateRequest.md""], ""queries"": [""*.prompt.md""]}",tests/,tags=1; releases=0,true,stars:50-199|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,AsiaOstrich/universal-dev-standards,https://github.com/AsiaOstrich/universal-dev-standards,69,JavaScript,"Universal, language-agnostic development standards for software projects. Includes coding standards, git workflows, testing guidelines, documentation structure, and AI collaboration rules.",ai-collaboration|best-practices|claude-code|code-review|coding-standards|commit-conventions|conventional-commits|developer-tools|development-standards|devops|documentation|git-workflow|quality-assurance|semantic-versioning|skills|software-engineering|spec-driven-development|testing-standards,"{""matched_paths"": [""integrations/roo-code/.clinerules""], ""queries"": ["".clinerules""]}",.github/workflows; tests/; specs/,tags=1; releases=1,true,stars:50-199|artifact:.clinerules|agent_flag:true,,,,,,,,
0.1,Asymptote-Labs/agent-beacon,https://github.com/Asymptote-Labs/agent-beacon,244,Go,"Agent Beacon is the world's first open-source telemetry layer for AI agents wherever they run: locally, in CI, or in the cloud.",agent-ai-cli|agent-security|ci|claude-code|cloud|codex|cursor|detection-engineering|endpoint-security|mobile-device-management|security|security-information-and-event-management|security-tools,"{""matched_paths"": [""rules/prompt-injection/exfiltrate-system-prompt.rule.yaml""], ""queries"": [""system-prompt.*""]}",.github/workflows; spec/,tags=1; releases=1,true,stars:200-999|artifact:system-prompt.*|agent_flag:true,,,,,,,,
0.1,Auriti-Labs/geo-optimizer-skill,https://github.com/Auriti-Labs/geo-optimizer-skill,479,Python,"Open-source Answer Engine Optimization (AEO) & Generative Engine Optimization (GEO) toolkit — audit, optimize & track whether ChatGPT, Perplexity, Gemini & Google AI Overviews cite your site. AI SEO / LLM SEO. CLI, Python, MCP, Astro.",aeo|ai-search-optimization|ai-seo|ai-visibility|answer-engine-optimization|astro|chatgpt|citation-tracking|claude|cli|gemini|generative-engine-optimization|geo|llm-seo|llms-txt|mcp|perplexity|python|schema-markup|seo,"{""matched_paths"": [""src/geo_optimizer/skills/catalog/geo_ai_discovery_readiness/prompt.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:200-999|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,Automattic/data-liberation-agent,https://github.com/Automattic/data-liberation-agent,30,TypeScript,Extract content from closed web platforms into WordPress-compatible WXR files.,,"{""matched_paths"": [""prompts/wix.md""], ""queries"": [""prompts/""]}",test/,,true,stars:10-49|artifact:prompts/|agent_flag:true,,,,,,,,
0.1,Automattic/newspack-workspace,https://github.com/Automattic/newspack-workspace,16,PHP,All the code that's fit to ship,,"{""matched_paths"": [""plugins/newspack-blocks/CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows,tags=1; releases=1,false,stars:10-49|artifact:CLAUDE.md|agent_flag:false,,,,,,,,
0.1,Automattic/wp-calypso,https://github.com/Automattic/wp-calypso,12635,TypeScript,The JavaScript and API powered WordPress.com,es2015|es6|es6-javascript|javascript|nodejs|react|redux|wordpress,"{""matched_paths"": [""client/landing/stepper/AGENTS.md""], ""queries"": [""AGENTS.md""]}",.circleci; .buildkite; test/,tags=1; releases=1,true,stars:1000+|artifact:AGENTS.md|agent_flag:true,,,,,,,,
0.1,Autonoma-Labs/Open-CoWork,https://github.com/Autonoma-Labs/Open-CoWork,34,TypeScript,,,"{""matched_paths"": [""src/renderer/services/ai/system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows; tests/,,true,stars:10-49|artifact:system-prompt.*|agent_flag:true,,,,,,,,
0.1,Avantis-Labs/avantis_trader_sdk,https://github.com/Avantis-Labs/avantis_trader_sdk,23,Python,Avantis Trader SDK,,"{""matched_paths"": ["".cursorrules""], ""queries"": ["".cursorrules""]}",tests/,tags=1; releases=1,true,stars:10-49|artifact:.cursorrules|agent_flag:true,,,,,,,,
0.1,Avarok-Cybersecurity/atlas,https://github.com/Avarok-Cybersecurity/atlas,511,Rust,Pure Rust Inference Engine,cuda|dgx|dgx-spark|gb10|llm-inference|mamba|nvfp4|openai-api|rust|speculative-decoding|ssm|transformers,"{""matched_paths"": [""scripts/fixtures/opencode_system_prompt.txt""], ""queries"": [""system_prompt.*""]}",.github/workflows; Cargo.toml; tests/,,true,stars:200-999|artifact:system_prompt.*|agent_flag:true,,,,,,,,
0.1,AyayaXiaowang/Ayaya_Miliastra_Editor,https://github.com/AyayaXiaowang/Ayaya_Miliastra_Editor,297,Python,支持用 Python 代码描述节点图，由内置引擎负责解析、验证、自动排版，再配合自动化脚本把步骤精准落到真实编辑器。,,"{""matched_paths"": [""assets/ocr_templates/1080-100-CN/claude.md"", ""engine/configs/rules/claude.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows; pytest.ini; tests/,,false,stars:200-999|artifact:CLAUDE.md|agent_flag:false,,,,,,,,
0.1,Azure-Samples/Copilot-Studio-with-Azure-AI-Search,https://github.com/Azure-Samples/Copilot-Studio-with-Azure-AI-Search,26,HCL,AZD template for deploying Azure Copilot Studio with Azure AI search,ai-azd-templates|azd-templates|azure-ai-search|copilot-studio|power-platform|terraform,"{""matched_paths"": ["".github/chatmodes/README.md""], ""queries"": ["".github/chatmodes""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:10-49|artifact:.github/chatmodes|agent_flag:true,,,,,,,,
0.1,Azure-Samples/art-voice-agent-accelerator,https://github.com/Azure-Samples/art-voice-agent-accelerator,73,Python,"Build, test, and ship omnichannel voice agents on Azure—ACS telephony, custom STT→LLM→TTS pipeline, Voice Live API (voice-to-voice), and Foundry Agents.",,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:50-199|artifact:.github/copilot-instructions.md|agent_flag:true,,,,,,,,
0.1,Azure-Samples/multimodal-rag-code-execution,https://github.com/Azure-Samples/multimodal-rag-code-execution,79,Jupyter Notebook,"A multimodal Retrieval Augmented Generation with code execution capabilities. Process multiple complex documents with images, table, charts to distill insights or generate new documents.",,"{""matched_paths"": [""tutorials/11_System_Prompt_Optimizer.ipynb""], ""queries"": [""system_prompt.*""]}",.github/workflows,,true,stars:50-199|artifact:system_prompt.*|agent_flag:true,,,,,,,,
