schema_version,repo_full_name,repo_url,stars,primary_language,github_description,github_topics,detected_instruction_artifacts,ci_evidence,release_evidence,agent_product_flag,sample_stratum,primary_label,confidence,evidence_notes,annotator_id,annotation_round,adjudication_status,adjudicated_label,adjudication_notes
0.1,567-labs/instructor,https://github.com/567-labs/instructor,13190,Python,structured outputs for llms ,openai|openai-function-calli|openai-functions|pydantic-v2|python|validation,"{""matched_paths"": ["".cursor/rules/new-features-planning.mdc"", ""docs/examples/multi_modal_gemini.md""], ""queries"": ["".cursor/rules"", ""GEMINI.md""]}",.github/workflows; tests/,tags=1; releases=1,True,stars:1000+|artifact:.cursor/rules|agent_flag:true,AI_PRODUCT,high,Python library for structured LLM outputs.,claude_r2,1,,,
0.1,9mtm/Agent-Player,https://github.com/9mtm/Agent-Player,11,TypeScript,Open-source AI desktop assistant — run local or remote LLMs with privacy-first design and zero setup required.,ai-agent|ai-assistant|ai-assistant-offline|ai-automation|cross-platform|desktop-app|developer-tools|encrypted-storage|open-source|productivity|self-hosted,"{""matched_paths"": [""packages/backend/src/tools/system-prompts.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=1,True,stars:10-49|artifact:system-prompt.*|agent_flag:true,CONVENTIONAL_SOFTWARE,medium,Privacy-first desktop AI assistant for end users.,claude_r2,1,,,
0.1,AI-Escape/open-ice,https://github.com/AI-Escape/open-ice,25,TypeScript,,,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,True,stars:10-49|artifact:AGENTS.md|agent_flag:true,EXCLUDE,high,No description, topics, or diagnostic name.,,,
0.1,AI-Planning/l2p,https://github.com/AI-Planning/l2p,58,Python,Library for LLM-driven action model acquisition via natural language,llm|nlp|pddl,"{""matched_paths"": [""l2p/templates/custom/prompt_initial_goal_metric.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; tests/,tags=1; releases=1,True,stars:50-199|artifact:*.prompt.md|agent_flag:true,AI_PRODUCT,medium,Library for LLM-driven action model acquisition.,claude_r2,1,,,
0.1,AI45Lab/Code,https://github.com/AI45Lab/Code,137,Rust,Agentic Agent Framework,,"{""matched_paths"": [""core/prompts/analysis/intent_classify_system.md"", ""core/prompts/common/boundaries.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; Cargo.toml,tags=1; releases=1,True,stars:50-199|artifact:*.prompt.md|agent_flag:true,AI_PRODUCT,medium,Rust agentic agent framework with buildable Cargo project.,claude_r2,1,,,
0.1,AIDotNet/OpenCowork,https://github.com/AIDotNet/OpenCowork,485,TypeScript,Open Cowork - Opensource Claude Cowork for Windows & macOS & Linux. ,,"{""matched_paths"": [""src/renderer/src/lib/agent/system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=1,True,stars:200-999|artifact:system-prompt.*|agent_flag:true,CONVENTIONAL_SOFTWARE,medium,End-user desktop Cowork clone for Windows, macOS, and Linux.,,,
0.1,AISecurityConsortium/AIGoat,https://github.com/AISecurityConsortium/AIGoat,63,JavaScript,AIGoat - Open-source AI security playground for LLM red teaming. AI Goat provides hands-on labs covering the full OWASP LLM Top 10 with progressive defenses.,ai-goat|ai-playground|ai-security|ai-security-lab|ai-vulnerabilities|aigoat|ctf-challenges|llm-attacks|llm-red-teaming|llm-security|owasp-llm|prompt-injection|prompt-injection-testing|red-teaming,"{""matched_paths"": [""prompts/challenges/c4_context_override.md"", ""prompts/labs/excessive_agency.md""], ""queries"": [""*.prompt.md"", ""prompts/""]}",.github/workflows; tests/,tags=1; releases=1,True,stars:50-199|artifact:*.prompt.md|agent_flag:true,AI_PRODUCT,high,Open LLM red-teaming security playground covering OWASP LLM Top 10.,claude_r2,1,,,
0.1,AIStoryBuilders/AIStoryBuilders,https://github.com/AIStoryBuilders/AIStoryBuilders,67,C#,Write your next novel faster and easier,ai|azure-open-ai|chatgpt|llm|open-ai|writing-application|writing-software|writing-tool,"{""matched_paths"": [""wiki-content/Anatomy-Of-A-Prompt.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,True,stars:50-199|artifact:*.prompt.md|agent_flag:true,CONVENTIONAL_SOFTWARE,high,End-user novel-writing application.,claude_r2,1,,,
0.1,AIrjen/OneButtonPrompt,https://github.com/AIrjen/OneButtonPrompt,1065,Python,One Button Prompt,,"{""matched_paths"": [""user_guides/workflow_assist_and_prompt_variant_mode.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,,True,stars:1000+|artifact:*.prompt.md|agent_flag:true,AI_PRODUCT,low,Runnable Python utility generating image-generation prompts.,claude_r2,1,,,
0.1,ALT-F4-LLC/dotfiles.vorpal,https://github.com/ALT-F4-LLC/dotfiles.vorpal,17,Rust,Vorpal dotfiles for TheAltF4Stream.,vorpal,"{""matched_paths"": [""docs/changelog/skills/evolve-agents.md""], ""queries"": [""AGENTS.md""]}",.github/workflows; Cargo.toml; tests/,,True,stars:10-49|artifact:AGENTS.md|agent_flag:true,EXCLUDE,high,Personal dotfiles repository; not a software product.,claude_r2,1,,,
0.1,AMAP-EAI/Nav-R2,https://github.com/AMAP-EAI/Nav-R2,20,Python,Official Implementation of paper: [Nav-R2:Dual‑Relation Reasoning for Generalizable Open‑Vocabulary Object‑Goal Navigation],,"{""matched_paths"": [""environment-modules-customed/transformers_4.51.3-xwt-customed/transformers/docs/source/zh/agents.md""], ""queries"": [""AGENTS.md""]}",tests/,,True,stars:10-49|artifact:AGENTS.md|agent_flag:true,CONVENTIONAL_SOFTWARE,low,Research navigation implementation; vendored agents doc is incidental.,claude_r2,1,,,
0.1,ARCLab-MIT/kspdg,https://github.com/ARCLab-MIT/kspdg,27,Python,ARCLab-MIT participation in the KSPDG challenge,,"{""matched_paths"": [""arclab_mit/system_prompt.md""], ""queries"": [""system_prompt.*""]}",tests/,tags=1; releases=0,True,stars:10-49|artifact:system_prompt.*|agent_flag:true,CONVENTIONAL_SOFTWARE,low,KSPDG challenge simulation code with internal LLM prompts.,claude_r2,1,,,
0.1,ARPAHLS/OPSIE,https://github.com/ARPAHLS/OPSIE,27,Python,An advanced Self-Centered Intelligence (SCI) prototype that represents a new paradigm in AI-human interaction.,agentic-rag|agents|ai|api|arpa|autonomous-agents|llm|local-ai|mcp|ml|multimodal|ollama|opsie|rag|self-hosted|sql,"{""matched_paths"": [""docs/PROMPTS_AND_SOULSIG.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,True,stars:10-49|artifact:*.prompt.md|agent_flag:true,CONVENTIONAL_SOFTWARE,low,End-user SCI prototype despite agentic-RAG/MCP topics.,claude_r2,1,,,
0.1,ActiveInferenceInstitute/GEO-INFER,https://github.com/ActiveInferenceInstitute/GEO-INFER,11,HTML,,,"{""matched_paths"": [""GEO-INFER-ACT/.cursorrules"", ""GEO-INFER-EXAMPLES/examples/module_orchestrators/HEALTH/AGENTS.md"", ""GEO-INFER-RISK/examples/AGENTS.md"", ""GEO-INFER-SPM/.cursorrules""], ""queries"": ["".cursorrules"", ""AGENTS.md""]}",.github/workflows,,True,stars:10-49|artifact:.cursorrules|agent_flag:true,EXCLUDE,low,No description or topics; multi-module HTML repo with unclear purpose.,claude_r2,1,,,
0.1,Affitor/affiliate-skills,https://github.com/Affitor/affiliate-skills,474,HTML,"50 AI agent skills for affiliate marketing. Research trending content, write data-backed posts, generate infographics, build landing pages, deploy — full flywheel with social intelligence. Works with Claude Code, Pi, ChatGPT, Gemini, Cursor, Windsurf, any AI.",affiliate-marketing|agent-skills|ai|ai-agents|chatgpt|claude|claude-code|content-marketing|cursor|gemini|influencer|llm|marketing|open-source|saas|seo|skill-md|social-media|tiktok|youtube,"{""matched_paths"": ["".cursorrules""], ""queries"": ["".cursorrules""]}",.github/workflows; tests/; spec/,,True,stars:200-999|artifact:.cursorrules|agent_flag:true,EXCLUDE,medium,Pack of affiliate-marketing agent skills; not buildable software.,claude_r2,1,,,
0.1,Ageniti/Ageniti,https://github.com/Ageniti/Ageniti,30,JavaScript,"A standard SDK for building agent-facing apps across MCP, CLI, React, and AI tool stacks.",agent|agents|app|cli|cli-app|developer-tools|mcp|mcp-server|sdk|sdk-js|typescript,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows; test/,,True,stars:10-49|artifact:AGENTS.md|agent_flag:true,AI_PRODUCT,high,SDK for building agent-facing apps across MCP, CLI, and React.,,,
0.1,Agent-Threat-Rule/agent-threat-rules,https://github.com/Agent-Threat-Rule/agent-threat-rules,258,TypeScript,"Open detection standard -- like Sigma, but for AI agents. 425 rules, shipped in Microsoft AGT, Cisco AI Defense, MISP, OWASP A-S-R-H. 97.1% recall on NVIDIA garak. NIST OSCAL Path 1.",agent-security|agent-threat-rules|ai-security|garak|llm-security|mcp-security|owasp|owasp-agentic|prompt-injection|sigma-rules|threat-detection,"{""matched_paths"": [""data/skills-sh/skills/github/suggest-awesome-github-copilot-instructions.md"", ""rules/context-exfiltration/ATR-2026-00275-system-prompt-training-data-extraction.yaml""], ""queries"": [""copilot-instructions.md"", ""system-prompt.*""]}",.github/workflows; tests/; spec/,tags=1; releases=1,True,stars:200-999|artifact:copilot-instructions.md|agent_flag:true,AI_PRODUCT,medium,Detection standard with 425 rules for AI-agent security threats.,claude_r2,1,,,
0.1,AgentOps-AI/agentops,https://github.com/AgentOps-AI/agentops,5643,Python,"Python SDK for AI agent monitoring, LLM cost tracking, benchmarking, and more. Integrates with most LLMs and agent frameworks including CrewAI, Agno, OpenAI Agents SDK, Langchain, Autogen, AG2, and CamelAI",agent|agentops|agents-sdk|ai|anthropic|autogen|cost-estimation|crewai|evals|evaluation-metrics|groq|langchain|llm|mistral|ollama|openai|openai-agents,"{""matched_paths"": [""docs/v2/examples/openai_agents.mdx""], ""queries"": [""AGENTS.md""]}",.github/workflows; tests/,tags=1; releases=1,True,stars:1000+|artifact:AGENTS.md|agent_flag:true,AI_PRODUCT,high,Python SDK for AI agent monitoring, cost tracking, and benchmarking.,,,
0.1,AgentWrapper/agent-orchestrator,https://github.com/AgentWrapper/agent-orchestrator,7599,TypeScript," Agentic orchestrator for parallel coding agents — plans tasks, spawns agents, and autonomously handles CI    fixes, merge conflicts, and code reviews.",agent-fleet|agent-swarm|claude-code|codex-cli|git-worktrees|multi-agent|orchestration|orchestrator|parallel-agents|parallel-coding|skills|tmux,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": [""copilot-instructions.md""]}",.github/workflows; tests/,tags=1; releases=1,True,stars:1000+|artifact:copilot-instructions.md|agent_flag:true,AI_PRODUCT,high,Orchestrator for parallel coding agents with CI and review automation.,claude_r2,1,,,
0.1,Agents2AgentsAI/ata,https://github.com/Agents2AgentsAI/ata,90,Rust,AI agents for solving engineering and research problems end to end,,"{""matched_paths"": [""codex-rs/core/templates/research/researcher_system_prompt.md""], ""queries"": [""system_prompt.*""]}",.github/workflows,tags=1; releases=1,True,stars:50-199|artifact:system_prompt.*|agent_flag:true,AI_PRODUCT,medium,Rust AI agents for end-to-end engineering and research problems.,claude_r2,1,,,
