repo_full_name,stars,primary_language,github_description,github_topics,primary_label,confidence,evidence_notes
DataDog/stratus-red-team,2342,Go,":cloud: :zap: Granular, Actionable Adversary Emulation for the Cloud","['adversary-emulation', 'aws', 'aws-security', 'azure-security', 'cloud-native-security', 'cloud-security', 'detection-engineering', 'gcp-security', 'kubernetes-security', 'mitre-attack', 'purple-team', 'security', 'threat-detection']",CONVENTIONAL_SOFTWARE,high,Cloud adversary-emulation/security tool (Stratus-style); non-AI security software for general operators.
GuilhermeAlbert/awesome-ai-conventions,38,,A curated list of emerging conventions to build AI agents.,"['awesome', 'awesome-list', 'awesome-lists']",EXCLUDE,high,"Awesome/curated list of AI-agent conventions; awesome-list, not a software product."
FlipForensics/AIFT,33,Python,"AIFT is a GUI, CLI, REST API, and MCP tool that helps DFIR analysts get oriented quickly. Point it at disk images, VM images, forensic archives, or triage packages; AIFT discovers what can be opened, parses artifacts with Dissect, and uses AI to turn parsed data into concrete leads and gaps for the investigator to verify. ","['ai', 'aift', 'chatgpt', 'claude', 'dfir', 'dfir-automation', 'dfir-tools', 'digital-forensics', 'forensics', 'forensics-tools', 'incident-response', 'llm', 'local-ai', 'openai']",CONVENTIONAL_SOFTWARE,medium,"DFIR forensic-analysis tool using AI to generate leads for investigators; domain end-user tool, AI is a feature."
NiuTrans/ToFu,121,Python,"Self-hosted AI assistant with tool use, multi-agent orchestration, coding copilot and a lightweight Flask + vanilla JS stack.",[],CONVENTIONAL_SOFTWARE,low,"Self-hosted AI assistant with multi-agent orchestration and coding copilot; AI-central end-user assistant, borderline vs AI_PRODUCT."
Gerstep/HumanCompiler,152,TypeScript,Compile humans into AI agents — a Claude Code plugin that conducts deep behavioral interviews and generates installable agent plugins,[],AI_PRODUCT,high,Claude Code plugin that generates installable agent plugins from interviews; tooling for building AI agents.
MODSetter/SurfSense,14962,Python,"An open source, privacy focused alternative to NotebookLM for teams with no data limits. Join our Discord: https://discord.gg/ejRNvftDp9","['agent', 'agents', 'ai', 'chrome-extension', 'extension', 'fastapi', 'langchain', 'langgraph', 'nextjs', 'notebooklm', 'ollama', 'perplexity', 'python', 'rag', 'typescript']",CONVENTIONAL_SOFTWARE,low,"Privacy-focused NotebookLM alternative for teams; AI-central end-user app (RAG/agents), borderline vs AI_PRODUCT."
NewLifeX/X,1863,C#,"Core basic components: log (file / network), configuration (XML / JSON / HTTP), cache (memory / redis), network (TCP / UDP / HTTP), RPC framework, serialization (binary / XML / JSON), APM performance tracking. 核心基础组件，日志（文件/网络）、配置（XML/Json/Http）、缓存（内存/Redis）、网络（Tcp/Udp/Http）、RPC框架、序列化（Binary/XML/Json）、APM性能追踪。","['api', 'network', 'newlife', 'reflection', 'rpc', 'security', 'serialize', 'server', 'service', 'thread']",CONVENTIONAL_SOFTWARE,high,Core .NET infrastructure components (logging/config/cache/RPC); non-AI developer library.
Jamkris/everything-gemini-code,83,JavaScript,"[Everything Gemini Code] A harness engineering toolkit for Gemini CLI & Antigravity. Tune the runtime around the model, not the model itself","['ai-agents', 'antigravity', 'developer-tools', 'gemini-cli', 'gemini-cli-extension', 'gemini-cli-skills', 'hooks', 'llm-tools', 'mcp', 'productivity', 'slash-commands']",AI_PRODUCT,high,Harness-engineering toolkit for Gemini CLI/Antigravity; tooling for operating AI coding agents.
Copenhagen0x/solana-security-standard,31,JavaScript,"Solana's SOL-0XX security standard — bug-class rules distilled from $514M of real exploits, firing as you code in every AI tool, editor & CI.","['anchor', 'anthropic', 'audit', 'bug-bounty', 'claude-code', 'rust', 'security', 'solana', 'static-analysis']",AI_PRODUCT,medium,"Solana security standard/bug-class rules firing in AI tools/editors/CI; AI-security tooling, borderline vs rule content."
IstiN/yoloit,21,Dart,,[],EXCLUDE,high,Dart repo with no description or topics; insufficient evidence.
Provenance-Emu/Provenance,6332,C,"iOS & tvOS multi-emulator frontend, supporting various Atari, Bandai, NEC, Nintendo, Sega, SNK and Sony console systems… Get Started:  https://wiki.provenance-emu.com  | ","['atari', 'catalyst', 'emulation', 'emulator', 'game', 'gameboy', 'gameboyadvance', 'genesis', 'ios', 'macos', 'n64', 'nes', 'nintendo', 'objective-c', 'playstation', 'retrogaming', 'sega', 'snes', 'swift', 'tvos']",CONVENTIONAL_SOFTWARE,high,iOS/tvOS multi-emulator frontend (Provenance); end-user gaming application.
CreminiAI/skillpack,703,TypeScript,Pack and deploy local AI agents for your team in minutes,"['agent', 'agent-skills', 'agentic', 'agentic-ai', 'agentic-workflow', 'ai-skills']",AI_PRODUCT,high,Pack and deploy local AI agents for teams; tooling for building/operating AI agents.
JuliusBrussee/caveman-code,537,TypeScript,,[],EXCLUDE,high,No description or topics; insufficient evidence.
Automattic/data-liberation-agent,30,TypeScript,Extract content from closed web platforms into WordPress-compatible WXR files.,[],CONVENTIONAL_SOFTWARE,high,Extracts content from closed web platforms into WordPress WXR files; ordinary developer/end-user utility.
Oyl-Wallet/oyl-amm,11,Rust,,[],EXCLUDE,high,No description or topics; insufficient evidence.
ROCm/hipDNN,57,C++,[DEPRECATED] Moved to ROCm/rocm-libraries repo,[],EXCLUDE,high,Deprecated repo moved to ROCm/rocm-libraries; not an active product.
2030ai/2030ai-claudecode-allecosystem-sync,10,Python,"Cross-platform skill & MCP sync for Claude Code CLI, Codex CLI, and Cursor",[],AI_PRODUCT,high,Cross-platform skill & MCP sync for Claude Code/Codex/Cursor; tooling for AI builders.
Cloud-Solutions-International/antikythera,16,Java,Automated test generation for spring apps,[],CONVENTIONAL_SOFTWARE,medium,Automated test generation for Spring apps; developer tooling (no explicit AI-product framing).
BUZZARDGTA/Session-Sniffer,87,Python,A packet sniffer (also known as an IP sniffer/puller) specifically designed for Peer-To-Peer (P2P) video games on PC and consoles (PlayStation and Xbox).,"['console-sniffer', 'ip-puller', 'ip-sniffer', 'ippuller', 'ipsniffer', 'ipsniffing', 'p2p-puller', 'p2p-sniffer', 'packet-capture', 'packet-sniffer', 'packet-sniffing', 'packetsniffer', 'packetsniffing', 'pc', 'playstation', 'session-sniffer', 'sniffer', 'xbox']",CONVENTIONAL_SOFTWARE,high,Packet sniffer/IP-puller for P2P console games; ordinary end-user utility.
FerroxLabs/ijfw,189,JavaScript,"IJFW — It Just F*cking Works. Ferrox Labs' local-first infrastructure for AI coding agents: shared memory, smart routing, multi-AI cross-audits, disciplined workflow.","['ai-agents', 'ai-coding', 'claude-code', 'codex', 'cursor', 'developer-tools', 'gemini-cli', 'github-copilot', 'mcp', 'mcp-server', 'memory', 'nodejs', 'typescript', 'windsurf']",AI_PRODUCT,high,Local-first infrastructure for AI coding agents (shared memory/routing); AI-builder tooling.
ModelTC/LightX2V,2424,Python,Lightweight Image Video Action Generation Inference Framework,"['auto-regressive-diffusion-model', 'diffusion-models', 'dreamzero', 'hunyuan-video', 'lingbot-world', 'ltx-video', 'qwen-image', 'video-generation', 'wan-video', 'world-models']",AI_PRODUCT,high,Image/video generation inference framework (diffusion/world models); AI infrastructure for builders.
KyaniteLabs/mcp-video,47,Python,"Guardrailed video editing MCP server for AI agents. FFmpeg, Hyperframes, repurposing tools, Python client, and CLI. Local, fast, free.","['agent-tools', 'ai-agents', 'ai-video', 'claude', 'claude-code', 'cli', 'cursor', 'ffmpeg', 'hyperframes', 'mcp', 'mcp-server', 'mcp-tools', 'media-automation', 'model-context-protocol', 'python', 'python-library', 'subtitles', 'video', 'video-automation', 'video-editing']",AI_PRODUCT,high,Guardrailed video-editing MCP server for AI agents; tooling for AI agents.
MarimerLLC/rockbot,19,C#,Autonomous personal agent designed to be cloud-native,"['agent', 'ai']",CONVENTIONAL_SOFTWARE,low,"Cloud-native autonomous personal agent; thin description, AI-central end-user agent — borderline vs AI_PRODUCT."
BintzGavin/helios,86,TypeScript,Programmatic video creation with web technologies you already know. CSS animations just work.,[],CONVENTIONAL_SOFTWARE,high,Programmatic video creation with web tech (Remotion-style); developer/end-user media library.
NFDI4Chem/nmrxiv,22,Vue,"nmrXiv is currently developed as the FAIR, consensus-driven NMR data repository and computational platform. The ultimate goal is to accelerate broader coordination and data sharing among researchers by enabling storage, management, sharing and analysis of NMR data.","['nfdi4chem', 'nmr', 'nmr-data']",CONVENTIONAL_SOFTWARE,high,nmrXiv FAIR NMR data repository/computational platform; scientific domain software.
PrestaShop/hummingbird,129,Smarty,Default theme for PrestaShop 9.1+,"['ecommerce', 'front-office', 'modern', 'prestashop', 'prestashop-theme', 'responsive', 'theme']",CONVENTIONAL_SOFTWARE,high,Default theme for PrestaShop 9.1+; ordinary e-commerce front-end theme.
EvolvingAgentsLabs/llmos,78,TypeScript,The flagship example—the OS simulation,[],EXCLUDE,low,"""The flagship example—the OS simulation"", no topics; example/demo, purpose not confidently determinable."
Kevandrew/sophia,20,Go,Your AI builds the code. Sophia makes sure it's right.,"['ai-agents', 'git', 'version-control']",AI_PRODUCT,medium,"AI-code verification tool (""makes sure it's right""); consumers are developers operating/validating AI-generated code."
Autonoma-Labs/Open-CoWork,34,TypeScript,,[],EXCLUDE,high,No description or topics; insufficient evidence.
Automattic/newspack-workspace,16,PHP,All the code that's fit to ship,[],EXCLUDE,low,"""All the code that's fit to ship"" (PHP), no topics; purpose not determinable."
Alexli18/binex,62,Python,"Debuggable runtime for AI agent workflows. DAG pipelines, artifact lineage, and replayable runs.","['agent-framework', 'ai', 'ai-agents', 'automation', 'dag', 'litellm', 'llm', 'orchestration', 'workflow']",AI_PRODUCT,high,Debuggable runtime for AI agent workflows (DAG/lineage/replay); AI-builder tooling.
AlexChesser/ail,38,Rust,Alexander's Impressive Loops,[],EXCLUDE,low,"""Alexander's Impressive Loops"" (Rust), no topics; purpose not determinable."
NiaExperience/PearlOS,52,TypeScript,Your Interface to Intelligence,"['ai', 'ai-companion', 'assistant', 'llm-based-browser', 'local-first', 'open-source', 'openclaw', 'personal']",CONVENTIONAL_SOFTWARE,low,"AI companion/assistant browser (""Interface to Intelligence""); AI-central end-user app, borderline vs AI_PRODUCT."
Alfanous-team/alfanous,285,Python,"Alfanous is an Arabic search engine API provides the simple and advanced search in Quran , more features and many interfaces...","['api', 'arabic', 'indexing', 'mcp', 'mcp-server', 'python', 'quran', 'search-engine']",CONVENTIONAL_SOFTWARE,high,"Alfanous Arabic Quran search-engine API; domain search software, MCP is an interface not the product."
PostHog/DeskHog,484,C,The developer toy that brings developers joy.,[],CONVENTIONAL_SOFTWARE,low,"""The developer toy that brings developers joy"" (C), no topics; ambiguous, likely a dev utility but purpose unclear."
PulkitXChadha/awesome-databricks-mcp,19,Python,,[],EXCLUDE,high,No description or topics; insufficient evidence.
Puzzaks/PAIOS,153,Dart,"Run Gemini Nano 100% offline. A powerful, private, & open-source AI interface.","['ai', 'edge-computing', 'gemini', 'gemini-nano', 'google', 'google-ai', 'local', 'offline']",CONVENTIONAL_SOFTWARE,medium,Offline Gemini Nano AI interface for end users; AI-central but an end-user app.
Hacksore/cursed-repo,91,JavaScript,Average JavaScript repo 🫪,[],EXCLUDE,low,"""Average JavaScript repo"" placeholder description, no topics; purpose not determinable."
PaulJPhilp/effect-cli-tui,29,TypeScript,,[],EXCLUDE,high,No description or topics; insufficient evidence.
Fannon/search-bookmarks-history-and-tabs,329,JavaScript,"Browser extension to search bookmarks, history and tabs. Supports tagging and fuzzy search.","['bookmark', 'bookmarks', 'browser-extension', 'browserhistory', 'chrome-extension', 'chromium-extension', 'edge-extension', 'firefox-extension', 'manifest-v3', 'search', 'tab-groups', 'tabs-management', 'tagging']",CONVENTIONAL_SOFTWARE,high,Browser extension for searching bookmarks/history/tabs; ordinary end-user utility.
