repo_full_name,primary_label,confidence,evidence_notes,annotator_id,annotation_round
Gijsreyn/bicep-ext-databricks,CONVENTIONAL_SOFTWARE,medium,Azure Databricks Bicep sample for developers,claude_r2,1
LastBotInc/nextjs-supabase-ai-webapp,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
ReflexioAI/reflexio,AI_PRODUCT,high,AI agent self-improvement harness for AI developers,claude_r2,1
Mybono/ai-orchestrator,AI_PRODUCT,high,Portable multi-agent AI setup for Claude Code developers,claude_r2,1
CyberShadow/CyDo,AI_PRODUCT,medium,UI and orchestration for AI coding agents,claude_r2,1
NVIDIA/NeMo-Agent-Toolkit,AI_PRODUCT,high,NVIDIA NeMo Agent toolkit for AI practitioners,claude_r2,1
GreenteaOS/Caramel,CONVENTIONAL_SOFTWARE,low,Confectionery of GreenteaOS insufficient evidence,claude_r2,1
Gerstep/HumanCompiler,AI_PRODUCT,high,Claude Code plugin compiling humans into AI agents,claude_r2,1
ALT-F4-LLC/dotfiles.vorpal,EXCLUDE,high,Dotfiles repository not product software,claude_r2,1
LessUp/awesome-cursorrules-zh,CONVENTIONAL_SOFTWARE,medium,Cursor AI rules collection educational content,claude_r2,1
BuildWithHussain/hive,CONVENTIONAL_SOFTWARE,high,Project management software for end users,claude_r2,1
ROCm/hipDNN,CONVENTIONAL_SOFTWARE,medium,DEPRECATED ROCm libraries not AI product,claude_r2,1
AIrjen/OneButtonPrompt,CONVENTIONAL_SOFTWARE,low,One Button Prompt insufficient evidence,claude_r2,1
Micrurus-Ai/Corvid-lang,AI_PRODUCT,high,Programming language checking AI code for AI developers,claude_r2,1
CreminiAI/skillpack,AI_PRODUCT,high,Pack and deploy local AI agents for AI developers,claude_r2,1
Paperspace/cli,AI_PRODUCT,medium,CLI for Paperspace for AI cloud users,claude_r2,1
Agnuxo1/OpenCLAW-P2P,AI_PRODUCT,high,Decentralized research collective for AI researchers,claude_r2,1
Alfanous-team/alfanous,AI_PRODUCT,high,Alfanous search engine API with MCP for AI developers,claude_r2,1
Horace-Maxwell/horosa-skill,CONVENTIONAL_SOFTWARE,high,Offline AI skill for astrology for end users,claude_r2,1
MicrosoftDocs/learn,EXCLUDE,high,Microsoft Learn training content no product software,claude_r2,1
OpenCSGs/csghub-lite,AI_PRODUCT,high,Lightweight LLM runner with API for AI developers,claude_r2,1
MichealWayne/fe-tools,CONVENTIONAL_SOFTWARE,high,Frontend development docs and utilities for developers,claude_r2,1
Gremlinq/ExRam.Gremlinq,CONVENTIONAL_SOFTWARE,high,Graph object mapper for Gremlin for database devs,claude_r2,1
ParclLabs/parcl-ai-connect,CONVENTIONAL_SOFTWARE,low,Parcl AI Connect insufficient evidence,claude_r2,1
Azure-Samples/Copilot-Studio-with-Azure-AI-Search,CONVENTIONAL_SOFTWARE,medium,AZD template for Copilot Studio end-user deployment,claude_r2,1
Li-Bailiang/prompt-refine-skill,AI_PRODUCT,high,Agent Skill for prompt refinement for AI developers,claude_r2,1
MieMieeeee/comfyui-agent-skill,AI_PRODUCT,high,CLI enabling agents to run ComfyUI workflows for AI devs,claude_r2,1
DamianB-BitFlipper/proton-drive-sync,CONVENTIONAL_SOFTWARE,high,Unofficial Proton Drive sync for end users,claude_r2,1
PurpleAILAB/Decepticon,AI_PRODUCT,high,Autonomous hacking agent for red team security practitioners,claude_r2,1
1jehuang/jcode,AI_PRODUCT,high,Coding Agent Harness CLI for AI developers,claude_r2,1
ModelTC/LightX2V,AI_PRODUCT,high,Image/video generation inference framework for AI builders,claude_r2,1
Martian-Engineering/volt,AI_PRODUCT,medium,Coding agent with lossless context management,claude_r2,1
567-labs/instructor,AI_PRODUCT,high,Structured outputs library for LLMs for AI developers,claude_r2,1
OWASP/www-project-top-10-for-large-language-model-applications,AI_PRODUCT,high,OWASP Top 10 for LLM Apps for AI security practitioners,claude_r2,1
Minh-Tam-Solution/SDLC-Enterprise-Framework,CONVENTIONAL_SOFTWARE,high,AI+Human SDLC methodology documentation not software,claude_r2,1
CSlawyer1985/case-type-guide,CONVENTIONAL_SOFTWARE,high,AI-assisted legal tool for legal practitioners,claude_r2,1
HeartWise-AI/DeepCORO_CLIP,AI_PRODUCT,medium,Text/video embeddings for report generation for AI devs,claude_r2,1
JeremyDev87/codingbuddy,AI_PRODUCT,high,Codingbuddy orchestrating 29 AI agents for AI developers,claude_r2,1
HelpCode-ai/anythingmcp,AI_PRODUCT,high,Self-hosted MCP gateway for AI developers,claude_r2,1
MadAppGang/dingo,CONVENTIONAL_SOFTWARE,high,Meta-language for Go for general developers,claude_r2,1
PrestaShop/docs,EXCLUDE,high,PrestaShop technical documentation only,claude_r2,1
OlaProeis/Ferrite,CONVENTIONAL_SOFTWARE,high,Text editor for end users,claude_r2,1
Cloud-Solutions-International/antikythera,CONVENTIONAL_SOFTWARE,high,Automated test generation for Spring app developers,claude_r2,1
BUZZARDGTA/Session-Sniffer,CONVENTIONAL_SOFTWARE,high,Packet sniffer for gamers/end users,claude_r2,1
MarimerLLC/rockbot,AI_PRODUCT,medium,Autonomous personal agent for AI developers,claude_r2,1
CommunityToolkit/Aspire,CONVENTIONAL_SOFTWARE,high,Aspire components/extensions for general .NET devs,claude_r2,1
FerroxLabs/ijfw,AI_PRODUCT,high,Local-first infrastructure for AI coding agents,claude_r2,1
OSLC/oslc4net,CONVENTIONAL_SOFTWARE,high,dotnet SDK for OSLC for general developers,claude_r2,1
CompanyHelm/companyhelm,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
Provenance-Emu/Provenance,CONVENTIONAL_SOFTWARE,high,iOS/tvOS multi-emulator for end-user gamers,claude_r2,1
BNETDocs/bnetdocs-web,EXCLUDE,high,BNETDocs documentation and discussion website,claude_r2,1
ActiveInferenceInstitute/GEO-INFER,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
Alireza29675/yar-agent,AI_PRODUCT,high,Yar codebase understanding tool for AI developers,claude_r2,1
FixMyBerlin/tilda-geo,CONVENTIONAL_SOFTWARE,high,TILDA bicycle/parking data access for admins,claude_r2,1
Disentinel/grafema,CONVENTIONAL_SOFTWARE,high,Graph-based static analysis tool for developers,claude_r2,1
B-M-Capital-Research/honeclaw,CONVENTIONAL_SOFTWARE,high,Investment assistant for end users,claude_r2,1
NewLifeX/X,CONVENTIONAL_SOFTWARE,high,Core components framework for general developers,claude_r2,1
HybridWare/hybrid-browser,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
EUCPilots/evergreen-module,CONVENTIONAL_SOFTWARE,high,Windows image build pipelines for IT admins,claude_r2,1
FlareCoding/StelluxOS,CONVENTIONAL_SOFTWARE,high,Research operating system project for OS developers,claude_r2,1
JackHopkins/factorio-learning-environment,AI_PRODUCT,high,Evaluation environment for LLMs in Factorio for AI evaluators,claude_r2,1
Certora/AIComposer,AI_PRODUCT,low,AI Composer from Certora Labs insufficient evidence,claude_r2,1
OpenHands/software-agent-sdk,AI_PRODUCT,high,SDK for building AI agents with OpenHands V1,claude_r2,1
Eliezer-app/eliezer,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
OpenNMS/opennms,CONVENTIONAL_SOFTWARE,high,OpenNMS network management for IT admins,claude_r2,1
HBAI-Ltd/Toonflow-app,CONVENTIONAL_SOFTWARE,high,AI short drama creation tool for end users,claude_r2,1
NVIDIA/physicsnemo,AI_PRODUCT,high,Deep-learning framework for Physics-ML for AI researchers,claude_r2,1
LegnaOS/LegnaCode-cli,AI_PRODUCT,medium,ClaudeCode-CLI修复 project for AI developers,claude_r2,1
MicrosoftLearning/trainer-demo-deploy,CONVENTIONAL_SOFTWARE,low,MOC Demo deployment scenarios insufficient evidence,claude_r2,1
HewlettPackard/llmesh,AI_PRODUCT,high,LLM Agentic Tool Mesh Platform for AI developers,claude_r2,1
MicrosoftDocs/azure-ai-docs,EXCLUDE,high,Open Source Azure AI documentation only,claude_r2,1
HaiNinh1/oh-my-opencode,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
AlphaBitCore/nexus-gateway,AI_PRODUCT,high,Enterprise AI traffic gateway for AI system operators,claude_r2,1
9mtm/Agent-Player,CONVENTIONAL_SOFTWARE,high,Open-source AI desktop assistant for end users,claude_r2,1
MCPJam/inspector,AI_PRODUCT,high,MCP testing and evaluation platform for AI developers,claude_r2,1
NewLifeX/NewLife.Remoting,CONVENTIONAL_SOFTWARE,high,Unified remote communication framework for .NET devs,claude_r2,1
DataDog/dd-trace-js,CONVENTIONAL_SOFTWARE,high,Datadog APM client for Node.js developers,claude_r2,1
LouisShark/chatgpt_system_prompt,EXCLUDE,high,Collection of GPT prompts no executable software,claude_r2,1
PrestaShop/hummingbird,CONVENTIONAL_SOFTWARE,high,PrestaShop theme for e-commerce end users,claude_r2,1
DevExpress/devextreme-documentation,EXCLUDE,high,DevExtreme documentation only,claude_r2,1
PrefectHQ/fastmcp,AI_PRODUCT,high,FastMCP Python library for building MCP servers/clients,claude_r2,1
Quant-Club/ccxt-cpp,CONVENTIONAL_SOFTWARE,medium,C++ implementation of ccxt for crypto developers,claude_r2,1
ModelEngine-Group/nexent,AI_PRODUCT,high,Zero-code platform for auto-generating AI agents,claude_r2,1
PlamenTSV/plamen,AI_PRODUCT,high,Autonomous Web3 security audit agent for Claude Code,claude_r2,1
GregorStocks/mage-bench,AI_PRODUCT,medium,Magic Gathering harness for LLMs for AI researchers,claude_r2,1
KennispuntTwente/tidyprompt,AI_PRODUCT,high,R package for constructing prompts for LLMs for AI developers,claude_r2,1
Maxsky5/openducktor,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
GitGuardian/ggmcp,AI_PRODUCT,high,MCP server for secret scanning with GitGuardian API,claude_r2,1
Melvynx/aiblueprint,AI_PRODUCT,medium,AIBlueprint CLI for Claude Code configurations,claude_r2,1
0xN0RMXL/BugBountySkills,EXCLUDE,high,Knowledge base and AI skill system for bug bounty but no software,claude_r2,1
DavidWells/stars,CONVENTIONAL_SOFTWARE,high,Automatically indexed GitHub stars for end users,claude_r2,1
JUVOJustin/astrojs-wp-integration,CONVENTIONAL_SOFTWARE,high,WordPress Integration for AstroJS for web devs,claude_r2,1
JamesPaynter/mycelium,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
MedAdemBHA/docflow,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
DimitriGilbert/Formedible,CONVENTIONAL_SOFTWARE,high,Schema driven Shadcn wrapper for Tanstack forms for devs,claude_r2,1
Nakajima-Foundation/ownplate,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
OWASP/cornucopia,CONVENTIONAL_SOFTWARE,high,OWASP Cornucopia card game source for appsec training,claude_r2,1
Owl-Listener/ai-design-skills,AI_PRODUCT,medium,AI Design Skills Collection for AI product designers,claude_r2,1
EliFuzz/awesome-system-prompts,EXCLUDE,high,Collection of system prompts no executable software,claude_r2,1
BoweyLou/obsidian-mcp-server-enhanced,AI_PRODUCT,medium,Enhanced Obsidian MCP server for remote Claude.ai integration,claude_r2,1
Niek/chatgpt-web,CONVENTIONAL_SOFTWARE,high,ChatGPT web interface using OpenAI API for end users,claude_r2,1
Agents2AgentsAI/ata,AI_PRODUCT,medium,AI agents for engineering/research problems for AI devs,claude_r2,1
Case211/remnawave-admin,CONVENTIONAL_SOFTWARE,high,Admin Web + Bot for Remnawave Panel for end users,claude_r2,1
PulkitXChadha/awesome-databricks-mcp,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
CumulusNetworks/docs,EXCLUDE,high,NVIDIA Ethernet Software documentation only,claude_r2,1
NickCrew/Claude-Cortex,AI_PRODUCT,medium,Claude Cortex for AI-assisted development for AI devs,claude_r2,1
Nimble-Co/FoundryVTT-Nimble,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
EternisAI/enchanted-twin,CONVENTIONAL_SOFTWARE,low,Digital Twin insufficient evidence,claude_r2,1
Houseofmvps/codesight,AI_PRODUCT,high,Universal AI context generator saving tokens for AI developers,claude_r2,1
Mudlet/Mudlet,CONVENTIONAL_SOFTWARE,high,MUD client with Lua scripting for end-user gamers,claude_r2,1
ArdentAILabs/DE-Bench,AI_PRODUCT,high,DE Bench testing data engineering for AI agent evaluators,claude_r2,1
PramodDutta/Advance-Playwright-Framework,CONVENTIONAL_SOFTWARE,medium,Advance Playwright Framework for test developers,claude_r2,1
Azure/oav,CONVENTIONAL_SOFTWARE,high,OpenAPI validation tools for API developers,claude_r2,1
OvertliDS/overtli-studio-suite,CONVENTIONAL_SOFTWARE,high,ComfyUI nodes suite for generative AI end users,claude_r2,1
CavinHuang/comfyui-nodes-docs,EXCLUDE,high,ComfyUI node documentation plugin,claude_r2,1
HyperbolicLabs/Hyper-dOS,CONVENTIONAL_SOFTWARE,low,Hyperbolic Distributed OS insufficient evidence,claude_r2,1
BintzGavin/helios,CONVENTIONAL_SOFTWARE,high,Programmatic video creation for end users,claude_r2,1
GoogleCloudPlatform/kubernetes-engine-samples,EXCLUDE,high,Sample applications for GKE educational content,claude_r2,1
AI-Escape/open-ice,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
Alexli18/binex,AI_PRODUCT,high,Debuggable runtime for AI agent workflows for AI developers,claude_r2,1
AgentWrapper/agent-orchestrator,AI_PRODUCT,high,Agentic orchestrator for parallel coding agents for AI devs,claude_r2,1
HKUDS/OpenHarness,AI_PRODUCT,medium,Open Agent Harness with built-in personal agent for AI devs,claude_r2,1
Feolius/hell2shape,CONVENTIONAL_SOFTWARE,high,PHP type annotations from var_dump for PHP developers,claude_r2,1
GalacticDynamics/coordinax,CONVENTIONAL_SOFTWARE,high,Coordinates in JAX for scientific computing,claude_r2,1
LazyAGI/LazyMind,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
Emurasoft/emurasoft.github.io,EXCLUDE,high,Sphinx project for help.emeditor.com documentation,claude_r2,1
MODSetter/SurfSense,CONVENTIONAL_SOFTWARE,high,Privacy-focused NotebookLM alternative for end users,claude_r2,1
Auriti-Labs/geo-optimizer-skill,AI_PRODUCT,high,AEO/GEO toolkit with MCP for AI search optimization practitioners,claude_r2,1
Community-Access/accessibility-agents,AI_PRODUCT,high,Accessibility review agents for Claude Code for AI devs,claude_r2,1
NiuTrans/ToFu,CONVENTIONAL_SOFTWARE,high,Self-hosted AI assistant for end users,claude_r2,1
HillPhelmuth/AdventuresInSemanticKernel,AI_PRODUCT,medium,Microsoft Semantic Kernel learning for AI orchestration devs,claude_r2,1
JetBrains/youtrackdb,CONVENTIONAL_SOFTWARE,high,YouTrackDB graph database for developers,claude_r2,1
Dong90/oh-my-taiyiforge,AI_PRODUCT,high,AI workflow automation plugin with Claude/Codex for AI devs,claude_r2,1
Antvirf/stui,CONVENTIONAL_SOFTWARE,high,Terminal UI for Slurm HPC clusters for admins,claude_r2,1
ChenZiHong-Gavin/weekly-vibe-coding,CONVENTIONAL_SOFTWARE,medium,用提示词实现一百个idea end-user frontend project,claude_r2,1
NaverPayDev/pie,CONVENTIONAL_SOFTWARE,medium,Naverpay frontend package management for developers,claude_r2,1
JohnSnowLabs/spark-nlp,AI_PRODUCT,high,State of the Art NLP library for AI/NLP practitioners,claude_r2,1
ExpressLRS/Docs,EXCLUDE,high,ExpressLRS.org documentation website,claude_r2,1
Agent-Threat-Rule/agent-threat-rules,AI_PRODUCT,high,Open detection standard for AI agents for security practitioners,claude_r2,1
RYOITABASHI/Shelly,CONVENTIONAL_SOFTWARE,high,AI-powered terminal IDE for Android for end users,claude_r2,1
FavioVazquez/learnship,CONVENTIONAL_SOFTWARE,medium,Agentic engineering learning content for end users,claude_r2,1
OfficeDev/microsoft-365-agents-toolkit-samples,EXCLUDE,high,Microsoft Teams sample applications educational,claude_r2,1
1Password/SCAM,AI_PRODUCT,high,SCAM benchmark testing AI agent security awareness,claude_r2,1
0-AI-UG/cate,CONVENTIONAL_SOFTWARE,high,Infinite zoomable canvas for coding for end users,claude_r2,1
PaulJPhilp/effect-notion,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
OsmosysSoftware/osmo-x,CONVENTIONAL_SOFTWARE,high,Multi-channel notification component for developers,claude_r2,1
PlanExeOrg/PlanExe,AI_PRODUCT,high,AI planning from description with MCP for AI builders,claude_r2,1
CoreAgent-Project/CoreAgent,AI_PRODUCT,medium,LLM Agent framework with Stateful Tools for AI devs,claude_r2,1
LiteyukiStudio/agent,AI_PRODUCT,low,轻雪综合agent for personal use insufficient evidence,claude_r2,1
