repo_full_name,primary_label,confidence,evidence_notes,annotator_id,annotation_round
HenryLach/taskplane,AI_PRODUCT,high,Multi-agent AI coding orchestration system; tooling for operating AI coding agents.,claude_r2,1
AgiFlow/aicode-toolkit,AI_PRODUCT,high,Toolkit/MCP server for coding agents to work across large repos; AI-builder tooling.,claude_r2,1
OpenSPG/KAG,AI_PRODUCT,high,Logical-reasoning RAG framework on OpenSPG+LLMs for building Q&A solutions; AI builder framework.,claude_r2,1
OpenCSGs/csghub-server,AI_PRODUCT,high,Backend for managing datasets/models and running inference/finetune (CSGHub); ML platform infrastructure.,claude_r2,1
DevopsArtFactory/unic,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
QuantumNous/new-api-docs-v1,EXCLUDE,high,"Official website documentation for New API; docs-only, not a software product.",claude_r2,1
Autonoma-Labs/Open-CoWork,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
1amageek/SwiftAgent,AI_PRODUCT,high,Type-safe declarative AI agent framework for Swift with MCP support; AI-builder framework.,claude_r2,1
Arenukvern/mcp_flutter,AI_PRODUCT,high,MCP toolkit/agentic harness for Flutter AI-agent-driven development; tooling for AI builders.,claude_r2,1
LiPu-jpg/Openwrite,CONVENTIONAL_SOFTWARE,medium,AI novel-writing engine for end-user authors; AI-central but end-user creative app.,claude_r2,1
Naridon-Inc/aura,AI_PRODUCT,medium,"""Orchestrator for AI-Generated Code"" (semantic time machine); developer tooling for operating AI-generated code.",claude_r2,1
NVIDIA-NeMo/Gym,AI_PRODUCT,high,Framework to evaluate/improve models and agents using environments; AI evaluation infrastructure.,claude_r2,1
MaoXiaoYuZ/Long-Novel-GPT,CONVENTIONAL_SOFTWARE,low,GPT-based long-novel generator plus prompts/tutorials; borderline — generator is an end-user creative tool but repo mixes prompt-collection content.,claude_r2,1
BruinGrowly/Emergent-Code,AI_PRODUCT,medium,Code-generation system growing software from semantic specifications; AI code-generation tooling for developers.,claude_r2,1
PrefectHQ/prefect,CONVENTIONAL_SOFTWARE,high,"Prefect workflow-orchestration framework for data pipelines; general data-engineering tool, not AI-specific tooling.",claude_r2,1
Jamkris/everything-gemini-code,AI_PRODUCT,high,Harness-engineering toolkit for Gemini CLI/Antigravity; tooling for operating AI coding agents.,claude_r2,1
0xdpfly/gin-app-start,CONVENTIONAL_SOFTWARE,high,Gin-based general web backend framework; non-AI developer framework.,claude_r2,1
DataDog/stratus-red-team,CONVENTIONAL_SOFTWARE,high,Cloud adversary-emulation/security tool (Stratus-style); non-AI security software for general operators.,claude_r2,1
Brawl345/Image-Reverse-Search-WebExtension,CONVENTIONAL_SOFTWARE,high,WebExtension adding reverse-image-search context menu; ordinary end-user browser utility.,claude_r2,1
Peuqui/AIfred-Intelligence,CONVENTIONAL_SOFTWARE,low,"Self-hosted multi-agent personal assistant (voice/RAG/tool-calling); AI-central end-user assistant, borderline vs AI_PRODUCT.",claude_r2,1
Azure/azure-sdk-tools,CONVENTIONAL_SOFTWARE,medium,"Internal tools repo used by the Azure SDK team; developer tooling, no AI-product indication.",claude_r2,1
Arindam200/awesome-ai-apps,EXCLUDE,medium,"Collection of RAG/agent/AI use-case sample projects; showcase/content collection, not a single shipped product.",claude_r2,1
MatthewSuttles/rubyn-code,AI_PRODUCT,high,Ruby/Rails agentic coding assistant powered by Claude; coding-agent tooling.,claude_r2,1
BrowserOperator/browser-operator-core,CONVENTIONAL_SOFTWARE,low,"AI browser with multi-agent platform for end users (ChatGPT Atlas/Comet alternative); AI-central end-user app, borderline vs AI_PRODUCT.",claude_r2,1
Bitterbot-AI/bitterbot-desktop,CONVENTIONAL_SOFTWARE,low,"Local-first AI agent desktop app with memory/skills for end users; AI-central end-user assistant, borderline.",claude_r2,1
NickPittas/DirectorsConsole,CONVENTIONAL_SOFTWARE,medium,Web app for prompt generation and ComfyUI image/video generation; end-user creative generation tool.,claude_r2,1
NVIDIA/VisRTX,CONVENTIONAL_SOFTWARE,high,"NVIDIA OptiX-based ANARI rendering implementation; graphics/domain software, no AI tooling.",claude_r2,1
JMBeresford/retrom,CONVENTIONAL_SOFTWARE,high,Game library/collection management service focused on emulation; end-user application.,claude_r2,1
GuilhermeAlbert/awesome-ai-conventions,EXCLUDE,high,"Awesome/curated list of AI-agent conventions; awesome-list, not a software product.",claude_r2,1
Prof-Harita/terminaI,CONVENTIONAL_SOFTWARE,low,"Local-first computer assistant (Cowork alternative) with terminal ops for end users; AI-central end-user app, borderline vs AI_PRODUCT.",claude_r2,1
JunDamin/hwpapi,CONVENTIONAL_SOFTWARE,high,Python wrapper for HWP (Hangul) HwpObject via win32com; ordinary developer library.,claude_r2,1
Correia-jpv/fucking-awesome-swift,EXCLUDE,high,"Awesome list of Swift libraries/resources; awesome-list, not a software product.",claude_r2,1
JetBrains/intellij-community,CONVENTIONAL_SOFTWARE,high,IntelliJ IDEA / IntelliJ Platform IDE; non-AI developer tool.,claude_r2,1
Prismer-AI/Prismer,EXCLUDE,low,"""Open Source Research Claw"" with no topics or detail; purpose not confidently determinable.",claude_r2,1
HomericIntelligence/ProjectOdyssey,AI_PRODUCT,medium,Model training framework written in Mojo; infrastructure for building AI models.,claude_r2,1
CallMarcus/dji-drone-metadata-embedder,CONVENTIONAL_SOFTWARE,high,Python CLI embedding DJI drone telemetry into MP4 videos; ordinary end-user/developer utility.,claude_r2,1
PureCutCNC/purecutcnc,CONVENTIONAL_SOFTWARE,high,2.5D CAD/CAM workspace for CNC toolpaths; end-user domain software.,claude_r2,1
AISecurityConsortium/AIGoat,AI_PRODUCT,high,AI security playground for LLM red teaming (OWASP LLM Top 10 labs); AI security/testing tooling.,claude_r2,1
AzureAD/microsoft-authentication-library-common-for-objc,CONVENTIONAL_SOFTWARE,high,Shared code for Microsoft ADAL/MSAL authentication libraries; non-AI developer library.,claude_r2,1
HorusGoul/eslint-plugin-react-render-types,CONVENTIONAL_SOFTWARE,high,ESLint plugin bringing Flow render types to TypeScript; non-AI developer tooling.,claude_r2,1
2030ai/2030ai-claudecode-allecosystem-sync,AI_PRODUCT,high,Cross-platform skill & MCP sync for Claude Code/Codex/Cursor; tooling for AI builders.,claude_r2,1
Cyfrin/Updraft,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
DontFuckMyCode/dfmc,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
QuickerHub/quicker-rpc,CONVENTIONAL_SOFTWARE,low,"AI desktop assistant for Quicker automation (MCP/CLI plugin); end-user automation app, borderline vs AI_PRODUCT.",claude_r2,1
PallasBot/Pallas-Bot,CONVENTIONAL_SOFTWARE,medium,Arknights (明日方舟) Pallas bot; end-user game/community bot application.,claude_r2,1
QuasarBrains/Simple-Agent,AI_PRODUCT,medium,Simple LLM-powered agent that performs tasks; general agent tooling for AI builders/developers.,claude_r2,1
Protelis/Protelis,CONVENTIONAL_SOFTWARE,medium,"Java-hosted execution of Protelis programs; aggregate-programming language runtime, non-AI developer tool.",claude_r2,1
Raphasha27/Raphasha27,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
Oyl-Wallet/oyl-amm,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
Azure-Samples/art-voice-agent-accelerator,AI_PRODUCT,medium,Framework to build/test/ship omnichannel voice agents on Azure (STT→LLM→TTS); tooling for building AI voice agents.,claude_r2,1
Myriad-Dreamin/tinymist,CONVENTIONAL_SOFTWARE,high,Tinymist language service (LSP) for Typst; non-AI developer tooling.,claude_r2,1
NewLifeX/NewLife.RocketMQ,CONVENTIONAL_SOFTWARE,high,Lightweight managed RocketMQ client for .NET; ordinary developer library.,claude_r2,1
MicrosoftDocs/fabric-docs,EXCLUDE,high,"Public docs repo (fabric-docs-pr pair); docs-only, not a software product.",claude_r2,1
MinLL/MinAI,CONVENTIONAL_SOFTWARE,medium,"Bridge connecting LLMs to Skyrim mods; end-user game integration/mod, AI used as a feature.",claude_r2,1
NewLifeX/NewLife.Agent,CONVENTIONAL_SOFTWARE,high,Cross-platform .NET service/daemon management framework; non-AI developer tool.,claude_r2,1
AIStoryBuilders/AIStoryBuilders,CONVENTIONAL_SOFTWARE,high,End-user novel-writing application; AI-central but ordinary-user writing app.,claude_r2,1
FlipForensics/AIFT,CONVENTIONAL_SOFTWARE,medium,"DFIR forensic-analysis tool using AI to generate leads for investigators; domain end-user tool, AI is a feature.",claude_r2,1
Affitor/affiliate-skills,EXCLUDE,medium,"50 AI-agent skills for affiliate marketing (skill-md collection); skill collection, not shipped as a software product.",claude_r2,1
PaloAltoNetworks/docusaurus-openapi-docs,CONVENTIONAL_SOFTWARE,high,OpenAPI plugin generating API docs in Docusaurus; non-AI developer tooling.,claude_r2,1
DaveDushi/kolshek,CONVENTIONAL_SOFTWARE,high,CLI for tracking finances from Israeli banks/cards; ordinary end-user utility.,claude_r2,1
JetBrains/koog,AI_PRODUCT,high,Koog JVM framework for building AI agents; AI-builder framework.,claude_r2,1
Gijsreyn/bicep-ext-databricks,EXCLUDE,medium,"Sample repo for Azure Databricks Bicep extension; sample/demo content, thin product evidence.",claude_r2,1
LastBotInc/nextjs-supabase-ai-webapp,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
ReflexioAI/reflexio,AI_PRODUCT,high,AI agent self-improvement harness; tooling for building/operating AI agents.,claude_r2,1
Mybono/ai-orchestrator,AI_PRODUCT,high,Multi-agent AI developer setup / local LLM orchestration for Claude Code; AI-builder tooling.,claude_r2,1
CyberShadow/CyDo,AI_PRODUCT,high,UI and orchestration for AI coding agents; tooling for operating AI agents.,claude_r2,1
NVIDIA/NeMo-Agent-Toolkit,AI_PRODUCT,high,NVIDIA NeMo Agent toolkit for connecting/optimizing AI agents; AI-builder library.,claude_r2,1
GreenteaOS/Caramel,EXCLUDE,low,"""Confectionery of @GreenteaOS"" with no topics; purpose not confidently determinable.",claude_r2,1
Gerstep/HumanCompiler,AI_PRODUCT,high,Claude Code plugin that generates installable agent plugins from interviews; tooling for building AI agents.,claude_r2,1
ALT-F4-LLC/dotfiles.vorpal,EXCLUDE,high,Dotfiles repository; not a software product.,claude_r2,1
LessUp/awesome-cursorrules-zh,EXCLUDE,high,"Curated collection of Cursor AI coding rules (awesome-list); rule/prompt collection, not a software product.",claude_r2,1
BuildWithHussain/hive,CONVENTIONAL_SOFTWARE,medium,"Project-management software; ordinary end-user application, thin but clear.",claude_r2,1
ROCm/hipDNN,EXCLUDE,high,Deprecated repo moved to ROCm/rocm-libraries; not an active product.,claude_r2,1
AIrjen/OneButtonPrompt,AI_PRODUCT,low,"One Button Prompt (image-gen prompt utility); runnable prompt tool vs collection is borderline, modality also borderline.",claude_r2,1
Micrurus-Ai/Corvid-lang,AI_PRODUCT,medium,"""Programming language that checks your AI before it runs""; developer tooling for validating AI systems.",claude_r2,1
CreminiAI/skillpack,AI_PRODUCT,high,Pack and deploy local AI agents for teams; tooling for building/operating AI agents.,claude_r2,1
Paperspace/cli,CONVENTIONAL_SOFTWARE,medium,"CLI for Paperspace (GPU cloud); general cloud-infrastructure developer tool, not AI-specific tooling.",claude_r2,1
Agnuxo1/OpenCLAW-P2P,AI_PRODUCT,low,"Agent-native decentralized research collective (Lean4-verified, agent-native); research platform, borderline AI_PRODUCT vs research artifact.",claude_r2,1
Alfanous-team/alfanous,CONVENTIONAL_SOFTWARE,high,"Alfanous Arabic Quran search-engine API; domain search software, MCP is an interface not the product.",claude_r2,1
Horace-Maxwell/horosa-skill,EXCLUDE,medium,Offline AI skill for astrology/Bazi to mount on an AI; skill module/content rather than a standalone software product.,claude_r2,1
MicrosoftDocs/learn,EXCLUDE,high,"Microsoft Learn cloud/AI training content (no PRs accepted); course/content repo, not a software product.",claude_r2,1
OpenCSGs/csghub-lite,AI_PRODUCT,high,"Local LLM runner for CSGHub (inference, OpenAI-compatible API, model marketplace); AI infrastructure for operators.",claude_r2,1
MichealWayne/fe-tools,CONVENTIONAL_SOFTWARE,medium,Frontend dev resource library/templates plus a Chrome extension; non-AI developer tooling.,claude_r2,1
Gremlinq/ExRam.Gremlinq,CONVENTIONAL_SOFTWARE,high,.NET object-graph-mapper for Gremlin graph databases; ordinary developer library.,claude_r2,1
ParclLabs/parcl-ai-connect,EXCLUDE,low,"Only ""Parcl AI Connect"" name, no description/topics; purpose not confidently determinable.",claude_r2,1
Azure-Samples/Copilot-Studio-with-Azure-AI-Search,CONVENTIONAL_SOFTWARE,low,"AZD/Terraform template deploying Azure Copilot Studio + AI Search; infra deployment template, borderline (deploys AI services but is IaC config).",claude_r2,1
Li-Bailiang/prompt-refine-skill,EXCLUDE,medium,"Agent skill that refines prompts for the running model; single agent-skill module, not shipped as standalone software.",claude_r2,1
MieMieeeee/comfyui-agent-skill,AI_PRODUCT,medium,CLI letting agents run registered ComfyUI workflows returning JSON; tooling for AI agents/builders.,claude_r2,1
DamianB-BitFlipper/proton-drive-sync,CONVENTIONAL_SOFTWARE,high,Unofficial Proton Drive sync client (local folder syncing); ordinary end-user utility.,claude_r2,1
PurpleAILAB/Decepticon,AI_PRODUCT,high,Autonomous LLM red-team/hacking agent; AI security tooling for operators.,claude_r2,1
1jehuang/jcode,AI_PRODUCT,high,Coding agent harness; tooling for operating AI coding agents.,claude_r2,1
ModelTC/LightX2V,AI_PRODUCT,high,Image/video generation inference framework (diffusion/world models); AI infrastructure for builders.,claude_r2,1
Martian-Engineering/volt,AI_PRODUCT,high,Coding agent with lossless context management; AI coding-agent tooling.,claude_r2,1
567-labs/instructor,AI_PRODUCT,high,"""structured outputs for llms""; reusable LLM library for AI builders.",claude_r2,1
OWASP/www-project-top-10-for-large-language-model-applications,EXCLUDE,medium,"OWASP Top 10 for LLM Apps (GenAI Security Project); standards/content/documentation, not a software product.",claude_r2,1
Minh-Tam-Solution/SDLC-Enterprise-Framework,EXCLUDE,medium,"7-Pillar AI+Human SDLC methodology (stages/gates/roles); methodology/content, tool-agnostic, not shipped software.",claude_r2,1
CSlawyer1985/case-type-guide,CONVENTIONAL_SOFTWARE,medium,"AI-assisted legal case-analysis/triage system for lawyers; vertical end-user professional tool, AI is a feature.",claude_r2,1
HeartWise-AI/DeepCORO_CLIP,EXCLUDE,low,"Text/video embeddings for report generation, no topics; thin/notebook, purpose not confidently determinable.",claude_r2,1
JeremyDev87/codingbuddy,AI_PRODUCT,high,Orchestrates 29 specialized AI coding agents (PLAN→ACT→EVAL); AI coding-agent tooling.,claude_r2,1
HelpCode-ai/anythingmcp,AI_PRODUCT,high,No-code MCP gateway to build connectors for Claude/ChatGPT apps; tooling for AI builders/operators.,claude_r2,1
MadAppGang/dingo,CONVENTIONAL_SOFTWARE,high,Meta-language for Go adding Result types/pattern matching (compiler/LSP); non-AI developer tooling.,claude_r2,1
PrestaShop/docs,EXCLUDE,high,"PrestaShop technical documentation; docs-only, not a software product.",claude_r2,1
OlaProeis/Ferrite,CONVENTIONAL_SOFTWARE,high,Fast Rust text editor for Markdown/JSON/YAML/TOML; ordinary end-user application.,claude_r2,1
Cloud-Solutions-International/antikythera,CONVENTIONAL_SOFTWARE,medium,Automated test generation for Spring apps; developer tooling (no explicit AI-product framing).,claude_r2,1
BUZZARDGTA/Session-Sniffer,CONVENTIONAL_SOFTWARE,high,Packet sniffer/IP-puller for P2P console games; ordinary end-user utility.,claude_r2,1
MarimerLLC/rockbot,CONVENTIONAL_SOFTWARE,low,"Cloud-native autonomous personal agent; thin description, AI-central end-user agent — borderline vs AI_PRODUCT.",claude_r2,1
CommunityToolkit/Aspire,CONVENTIONAL_SOFTWARE,high,Community components/extensions for .NET Aspire; non-AI developer tooling.,claude_r2,1
FerroxLabs/ijfw,AI_PRODUCT,high,Local-first infrastructure for AI coding agents (shared memory/routing); AI-builder tooling.,claude_r2,1
OSLC/oslc4net,CONVENTIONAL_SOFTWARE,high,.NET SDK for OSLC linked-data interoperability; ordinary developer library.,claude_r2,1
CompanyHelm/companyhelm,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
Provenance-Emu/Provenance,CONVENTIONAL_SOFTWARE,high,iOS/tvOS multi-emulator frontend (Provenance); end-user gaming application.,claude_r2,1
BNETDocs/bnetdocs-web,EXCLUDE,high,"BNETDocs documentation/discussion website for Blizzard protocols; docs/content site, not a software product.",claude_r2,1
ActiveInferenceInstitute/GEO-INFER,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
Alireza29675/yar-agent,AI_PRODUCT,medium,"Codebase-understanding agent (claude-agent-sdk, code-analysis); developer AI tooling, borderline vs end-user dev utility.",claude_r2,1
FixMyBerlin/tilda-geo,CONVENTIONAL_SOFTWARE,high,TILDA provides OSM bicycle/parking infrastructure data for administrative staff; end-user domain application.,claude_r2,1
Disentinel/grafema,CONVENTIONAL_SOFTWARE,medium,"Graph-based static analysis tool (CLI/VSCode); non-AI developer tooling, MCP is an interface.",claude_r2,1
B-M-Capital-Research/honeclaw,CONVENTIONAL_SOFTWARE,low,"AI investment-assistant (HoneClaw); AI-central end-user finance assistant, thin topics — borderline vs AI_PRODUCT.",claude_r2,1
NewLifeX/X,CONVENTIONAL_SOFTWARE,high,Core .NET infrastructure components (logging/config/cache/RPC); non-AI developer library.,claude_r2,1
HybridWare/hybrid-browser,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
EUCPilots/evergreen-module,CONVENTIONAL_SOFTWARE,high,Evergreen Windows image-build pipelines for app versions/URLs; non-AI IT-automation tooling.,claude_r2,1
FlareCoding/StelluxOS,CONVENTIONAL_SOFTWARE,high,"Stellux research operating system; systems software, not AI tooling.",claude_r2,1
JackHopkins/factorio-learning-environment,AI_PRODUCT,high,Open-ended environment for evaluating LLMs in Factorio; AI evaluation/benchmark.,claude_r2,1
Certora/AIComposer,AI_PRODUCT,low,"""AI Composer from Certora Labs"", no topics; likely AI tooling but thin evidence.",claude_r2,1
OpenHands/software-agent-sdk,AI_PRODUCT,high,Modular SDK for building AI agents with OpenHands V1; AI-builder SDK.,claude_r2,1
Eliezer-app/eliezer,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
OpenNMS/opennms,CONVENTIONAL_SOFTWARE,high,OpenNMS enterprise network-management/monitoring platform; non-AI operations software.,claude_r2,1
HBAI-Ltd/Toonflow-app,CONVENTIONAL_SOFTWARE,medium,Toonflow AI short-drama creation desktop tool for creators; AI-central but end-user content-creation app.,claude_r2,1
NVIDIA/physicsnemo,AI_PRODUCT,high,Deep-learning framework for building/training Physics-ML models; AI/ML infrastructure for builders.,claude_r2,1
LegnaOS/LegnaCode-cli,AI_PRODUCT,low,"Repaired build of ClaudeCode-CLI source; coding-agent CLI, thin description — borderline.",claude_r2,1
MicrosoftLearning/trainer-demo-deploy,EXCLUDE,medium,"MOC demo deployment scenarios using AZD; demo/sample deployment content, thin product evidence.",claude_r2,1
HewlettPackard/llmesh,AI_PRODUCT,high,Agentic tool-mesh platform orchestrating intelligent plugins; AI orchestration infrastructure for builders.,claude_r2,1
MicrosoftDocs/azure-ai-docs,EXCLUDE,high,"Azure AI documentation collection; docs-only, not a software product.",claude_r2,1
HaiNinh1/oh-my-opencode,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
AlphaBitCore/nexus-gateway,AI_PRODUCT,high,Enterprise AI traffic gateway routing across LLM providers (compliance/cache/audit); AI infrastructure for operators.,claude_r2,1
9mtm/Agent-Player,CONVENTIONAL_SOFTWARE,medium,Offline-capable AI desktop assistant for end users; AI-central but end-user app.,claude_r2,1
MCPJam/inspector,AI_PRODUCT,high,Testing/evaluation platform for MCP servers and apps (inspector/evals); AI-builder/operator tooling.,claude_r2,1
NewLifeX/NewLife.Remoting,CONVENTIONAL_SOFTWARE,high,Unified .NET remote communication framework (RPC/HTTP/WebSocket); non-AI developer library.,claude_r2,1
DataDog/dd-trace-js,CONVENTIONAL_SOFTWARE,high,Datadog APM client for Node.js; non-AI developer/observability library.,claude_r2,1
LouisShark/chatgpt_system_prompt,EXCLUDE,high,"Collection of GPT system prompts and prompt-injection knowledge; prompt collection, not a software product.",claude_r2,1
PrestaShop/hummingbird,CONVENTIONAL_SOFTWARE,high,Default theme for PrestaShop 9.1+; ordinary e-commerce front-end theme.,claude_r2,1
DevExpress/devextreme-documentation,EXCLUDE,high,"DevExtreme documentation; docs-only, not a software product.",claude_r2,1
PrefectHQ/fastmcp,AI_PRODUCT,high,FastMCP — framework for building MCP servers/clients; tooling for AI builders.,claude_r2,1
Quant-Club/ccxt-cpp,CONVENTIONAL_SOFTWARE,medium,C++ port of the ccxt crypto-exchange trading library; ordinary developer library.,claude_r2,1
ModelEngine-Group/nexent,AI_PRODUCT,high,Zero-code platform for auto-generating production AI agents; consumers are AI builders.,claude_r2,1
PlamenTSV/plamen,AI_PRODUCT,high,Autonomous Web3 security-audit agent for Claude Code; AI security/agent tooling.,claude_r2,1
GregorStocks/mage-bench,AI_PRODUCT,medium,Magic: The Gathering harness for LLMs; AI evaluation/harness for testing models.,claude_r2,1
KennispuntTwente/tidyprompt,AI_PRODUCT,high,R package for constructing LLM prompts and interaction logic; reusable LLM library.,claude_r2,1
Maxsky5/openducktor,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
GitGuardian/ggmcp,AI_PRODUCT,medium,MCP server for scanning/remediating hardcoded secrets via GitGuardian; security MCP tooling for AI operators.,claude_r2,1
Melvynx/aiblueprint,AI_PRODUCT,medium,AIBlueprint CLI for setting up Claude Code configurations; tooling for AI-coding-agent setup.,claude_r2,1
0xN0RMXL/BugBountySkills,EXCLUDE,high,"Markdown knowledge base + AI skill system for bug bounty; content/skill collection, not a software product.",claude_r2,1
DavidWells/stars,EXCLUDE,medium,"Automatically indexed GitHub stars; personal index/content repo, not a product.",claude_r2,1
JUVOJustin/astrojs-wp-integration,CONVENTIONAL_SOFTWARE,high,WordPress integration for AstroJS; non-AI developer integration library.,claude_r2,1
