repo_full_name,repo_url,stars,primary_language,github_description,github_topics,detected_instruction_artifacts,ci_evidence,release_evidence,inspector2_label,inspector2_confidence,inspector2_evidence_sources,inspector2_functional_note,inspector2_free_notes
Bitterbot-AI/bitterbot-desktop,https://github.com/Bitterbot-AI/bitterbot-desktop,2392,TypeScript,"A local-first AI agent with persistent memory, emotional intelligence, and a peer-to-peer skills economy.",a2a-protocol|agent-economy|agent-memory|ai-agent|chatbot|cognitive-architecture|decentralized-ai|desktop-app|dream-engine|local-first|multi-channel|open-source|p2p|personal-ai|skills-marketplace|typescript|x402,"{""matched_paths"": [""src/agents/system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows; test/,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,instruction_consumption",Repository is an execution engine and client interface for decentralized local-first cognitive AI agents.,
BlackBeltTechnology/pi-agent-dashboard,https://github.com/BlackBeltTechnology/pi-agent-dashboard,168,TypeScript,"Real-time web dashboard for pi coding-agent sessions. Multi-session view, live chat mirroring, integrated terminal, diff viewer, pi-flows execution, and mobile-first remote control via mDNS or zrok tunnel. Coexists with pi's TUI — doesn't replace it.",,"{""matched_paths"": [""openspec/changes/archive/2026-03-27-auto-resume-on-prompt/tasks.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree",Repository provides visual analytics dashboarding and tool execution monitors explicitly built for managing autonomous AI agent sessions.,
CavinHuang/comfyui-nodes-docs,https://github.com/CavinHuang/comfyui-nodes-docs,279,JavaScript,"comfyui节点文档插件,enjoy~~",comfyui|comfyui-nodes|comfyui-nodes-docs,"{""matched_paths"": [""docs/LMStudioPrompt.md"", ""docs/ScaleBatchPromptSchedule.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,,EXCLUDE,high,"readme,file_tree",Repository is explicitly a localized documentation plugin and reference collection for ComfyUI nodes.,
ChenZiHong-Gavin/weekly-vibe-coding,https://github.com/ChenZiHong-Gavin/weekly-vibe-coding,22,TypeScript,用提示词实现一百个idea,frontend|hci|skills|vibe-coding,"{""matched_paths"": [""prompts/marionette.md""], ""queries"": [""*.prompt.md"", ""prompts/""]}",.github/workflows,,EXCLUDE,high,"readme,file_tree",Repository is a personal hobby template log and prompt engineering playground showcasing vibe-coding ideas.,
CompanyHelm/companyhelm,https://github.com/CompanyHelm/companyhelm,70,TypeScript,,,"{""matched_paths"": [""apps/api/src/prompts/system_prompt_template_context.ts""], ""queries"": [""system_prompt.*""]}",.github/workflows; tests/,tags=1; releases=0,CONVENTIONAL_SOFTWARE,high,"readme,file_tree",Repository delivers an enterprise management api application where system prompts support backend validation or filtering features.,
Cppys/OpenNovel,https://github.com/Cppys/OpenNovel,22,Python,基于claude sdk的自动化小说撰写Agent，支持对话，高质量的小说写作与发表,,"{""matched_paths"": [""config/prompts/story_architect.md""], ""queries"": [""*.prompt.md""]}",tests/,,AI_PRODUCT,high,"readme,file_tree,instruction_consumption",Repository provides an automated long-form narrative generation agent engine built via core Claude LLM interfaces.,
CrispStrobe/CrispEmbed,https://github.com/CrispStrobe/CrispEmbed,23,C++,Lightweight text embedding inference via ggml in pure C++: XLM-R/Qwen3/Gemma/MPNet/etc,bert|embeddings|ggml|mpnet|xlm-roberta,"{""matched_paths"": [""handover-prompts/layout-detect-parity.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; Cargo.toml; tests/,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,dependencies",Repository is an embedded ML utility providing optimized local vector embedding generation for AI architecture developers.,
DataDog/stratus-red-team,https://github.com/DataDog/stratus-red-team,2342,Go,":cloud: :zap: Granular, Actionable Adversary Emulation for the Cloud",adversary-emulation|aws|aws-security|azure-security|cloud-native-security|cloud-security|detection-engineering|gcp-security|kubernetes-security|mitre-attack|purple-team|security|threat-detection,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,CONVENTIONAL_SOFTWARE,high,"readme,file_tree",Repository is a standard cloud security engineering platform focused on adversary threat emulation tooling.,
Disentinel/grafema,https://github.com/Disentinel/grafema,35,Rust,Graph-based static analysis tool,cli|graph-database|graphs|mcp|static-analysis|vscode-extension,"{""matched_paths"": [""autoresearch/prompts/abl-09.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; test/,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,dependencies",Repository exposes specialized graph-based static code analyzer APIs implemented through Model Context Protocol (MCP) server endpoints.,
DontFuckMyCode/dfmc,https://github.com/DontFuckMyCode/dfmc,18,Go,,,"{""matched_paths"": ["".windsurfrules""], ""queries"": ["".windsurfrules""]}",.github/workflows; go.mod,,CONVENTIONAL_SOFTWARE,high,"readme,file_tree",Repository is a conventional code optimization or syntax validator toolchain for developer workflows.,
ExDragine/frontier,https://github.com/ExDragine/frontier,10,Python,,,"{""matched_paths"": [""prompts/system_prompt_image.md""], ""queries"": [""system_prompt.*""]}",pytest.ini; test/,,AI_PRODUCT,medium,"readme,file_tree",Repository implements a prototype multimodal instruction orchestration application consuming explicit vision prompt artifacts.,
FavioVazquez/learnship,https://github.com/FavioVazquez/learnship,53,Shell,Learn as you build. Build with intent. Ship real products. Agentic engineering done right. ,agentic-ai|ai-agent|ai-workflow|claude-code|codex-cli|cursor|gemini-cli|windsurf,"{""matched_paths"": ["".windsurf/workflows/templates/agents.md""], ""queries"": [""AGENTS.md""]}",.github/workflows; tests/,tags=1; releases=1,EXCLUDE,high,"readme,file_tree","Repository is structured as an interactive pedagogical course, guide blueprint, and boilerplate engine for workspace engineering.",
GreenteaOS/Caramel,https://github.com/GreenteaOS/Caramel,10,TypeScript,Confectionery of the @GreenteaOS,,"{""matched_paths"": ["".windsurfrules""], ""queries"": ["".windsurfrules""]}",.github/workflows,tags=1; releases=1,CONVENTIONAL_SOFTWARE,high,"readme,file_tree",Repository contains utility packages and UI assets developed strictly for supporting the standard GreenteaOS environment.,
GregorStocks/mage-bench,https://github.com/GregorStocks/mage-bench,60,Java,Magic: The Gathering harness for LLMs,,"{""matched_paths"": [""puppeteer/prompts/default.md""], ""queries"": [""*.prompt.md""]}",.travis.yml; tests/,,AI_PRODUCT,high,"readme,file_tree",Repository serves as an evaluation framework and comparative benchmark platform testing LLMs against standard rule vectors.,
Hacksore/cursed-repo,https://github.com/Hacksore/cursed-repo,91,JavaScript,Average JavaScript repo 🫪,,"{""matched_paths"": ["".aider.conf.yml"", "".aiderignore"", "".clinerules"", "".windsurfrules""], ""queries"": ["".aider.conf.yml"", "".aiderignore"", "".clinerules"", "".windsurfrules""]}",.travis.yml; .circleci; Jenkinsfile; azure-pipelines.yml; .gitlab-ci.yml; bitbucket-pipelines.yml; .buildkite; test/,,CONVENTIONAL_SOFTWARE,high,"readme,file_tree",Repository serves as an intentional test bed and structural example demonstrating chaotic conventional CI configuration layers.,
HaiNinh1/oh-my-opencode,https://github.com/HaiNinh1/oh-my-opencode,10,TypeScript,,,"{""matched_paths"": [""src/cli/config-manager/AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows; tests/,tags=1; releases=0,AI_PRODUCT,high,"readme,file_tree,dependencies",Repository is an automated orchestration client framework designed around agent management and model interaction hooks.,
HiveTrace/HiveTraceRed,https://github.com/HiveTrace/HiveTraceRed,27,Python,,,"{""matched_paths"": [""datasets/system_prompt_extraction_ru.csv""], ""queries"": [""system_prompt.*""]}",.github/workflows; tests/,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,dependencies",Repository is an evaluation or data curation pipeline focusing heavily on prompt datasets for LLM analysis.,
JamesPaynter/mycelium,https://github.com/JamesPaynter/mycelium,45,TypeScript,,,"{""matched_paths"": [""docs/tasks/archive/022-add-planner-prompt-templates/lessons-learned.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; test/,tags=1; releases=1,AI_PRODUCT,medium,"readme,file_tree",Repository establishes a spatial orchestration framework driven by declarative agent workflow prompts.,
Lakr233/FlowDown,https://github.com/Lakr233/FlowDown,1113,Swift,https://flowdown.ai/,,"{""matched_paths"": [""LandingPage/src/app/docs/documents/configuration/system_prompts.md""], ""queries"": [""system_prompt.*""]}",.github/workflows,tags=1; releases=1,CONVENTIONAL_SOFTWARE,high,"readme,file_tree",Repository builds an end-user developer markdown editing and visual document workspace application.,
LessUp/awesome-cursorrules-zh,https://github.com/LessUp/awesome-cursorrules-zh,202,JavaScript,Cursor AI 编程规则精选集 | 132+ 规则，覆盖前端/后端/AI/DevOps 等 32 个领域,ai|ai-assistant|ai-coding|awesome-list|bilingual|chinese|code-generation|cursor|cursor-ai|cursorrules|developer-tools|documentation|openspec|prompt-engineering|rules|vitepress,"{""matched_paths"": [""docs/rules/ai/photonic-neural-network/.cursorrules"", ""docs/rules/blockchain/advanced-protocols/.cursorrules"", ""docs/rules/blockchain/solidity/foundry/.cursorrules"", ""docs/rules/database/spatiotemporal/.cursorrules"", ""docs/rules/devops/github-code-quality/.cursorrules"", ""docs/rules/devops/serverless/.cursorrules"", ""docs/rules/emerging-tech/quantum-computing/.cursorrules"", ""docs/rules/frontend/react/nextjs-tailwind/.cursorrules"", ""docs/rules/general/code-style/.cursorrules"", ""docs/rules/hardware/carbon-chip/.cursorrules"", ""edited_out_to_save_space""], ""queries"": ["".cursorrules""]}",.github/workflows; tests/,tags=1; releases=1,EXCLUDE,high,"readme,file_tree",Repository is explicitly an awesome list compilation consisting purely of configuration rule patterns.,
Li-Bailiang/prompt-refine-skill,https://github.com/Li-Bailiang/prompt-refine-skill,84,Python,Agent Skill that silently refines prompts for the currently running model,agent-skill|agent-skills|ai-tools|prompt-engineering|prompt-refine,"{""matched_paths"": [""strategies/google-gemini.md""], ""queries"": [""GEMINI.md""]}",.github/workflows,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,instruction_consumption",Repository provides a pipeline engineering utility built to dynamically improve or refine input text for runtime AI models.,
LiPu-jpg/Openwrite,https://github.com/LiPu-jpg/Openwrite,150,Python,AI小说创作引擎 - 对话式引导创建项目、动态+静态文件防遗忘、多维风格提取与合成、通用技法质量审核、热门题材查看分析、多层渐进式压缩长文本 支持：四级大纲(总纲→篇→节→章)、三层风格合成、伏笔DAG管理、情节弧线-节拍模板驱动写作、去AI味技法,ai-novel|story-writing|writing-assistant,"{""matched_paths"": [""skills/style-system/prompts/batch_extract_style.md""], ""queries"": [""*.prompt.md""]}",tests/,,AI_PRODUCT,high,"readme,file_tree,instruction_consumption",Repository contains an interactive structural text composition layout app powered directly by deep LLM prompt orchestration pipelines.,
MaoXiaoYuZ/Long-Novel-GPT,https://github.com/MaoXiaoYuZ/Long-Novel-GPT,1155,Python,该项目包括一个基于 GPT 等大语言模型的长篇小说生成器，同时还有各类小说生成 Prompt 以及教程。我们欢迎社区贡献，持续更新以 provide 最佳的小说创作体验。,ai|chatgpt|gpt|llm|novel,"{""matched_paths"": [""prompts/\u521b\u4f5c\u6b63\u6587/system_prompt.txt"", ""prompts/\u521b\u4f5c\u6b63\u6587/\u683c\u5f0f\u5316\u6b63\u6587.txt""], ""queries"": [""prompts/"", ""system_prompt.*""]}",tests/,,AI_PRODUCT,high,"readme,file_tree,instruction_consumption",Repository contains structural pipeline engines and template suites for multi-turn generative text processing via AI models.,
Menghuan1918/drawio2go,https://github.com/Menghuan1918/drawio2go,209,TypeScript,"A modern DrawIO editor application.  AI-Powered, Human-AI Collaboration | AI 加持，人机共绘drawio",ai|ai-agents|drawio|mcp|mcp-server,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,dependencies",Repository acts as an MCP server application pairing graph generation layouts with LLM assistant endpoints.,
MinLL/MinAI,https://github.com/MinLL/MinAI,48,PHP,Bridge between LLMs and various Skyrim Mods,,"{""matched_paths"": [""minai_plugin/contextbuilders/system_prompt_context.php""], ""queries"": [""system_prompt.*""]}",.github/workflows,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,dependencies",Repository delivers an advanced context framework module that converts mod state events into context prompts for LLM consumers.,
NVIDIA/skills,https://github.com/NVIDIA/skills,1318,Python,AI agent skills published by NVIDIA,,"{""matched_paths"": [""skills/physical-ai-video-data-augmentation/assets/cookbooks/warehouse/augmentation/prompts/template_generation_system_prompt.md""], ""queries"": [""system_prompt.*""]}",.github/workflows,,AI_PRODUCT,high,"readme,file_tree,instruction_consumption",Repository supplies functional agent runtime skill toolkits and workflows built for consumption by AI automation infrastructure.,
Nimble-Co/FoundryVTT-Nimble,https://github.com/Nimble-Co/FoundryVTT-Nimble,23,TypeScript,,,"{""matched_paths"": ["".clinerules"", "".windsurfrules""], ""queries"": ["".clinerules"", "".windsurfrules""]}",.github/workflows; tests/,tags=1; releases=1,CONVENTIONAL_SOFTWARE,high,"readme,file_tree",Repository is a gaming utility module component engineered exclusively to extend standard FoundryVTT canvas systems.,
OWASP/www-project-top-10-for-large-language-model-applications,https://github.com/OWASP/www-project-top-10-for-large-language-model-applications,1295,Python,OWASP Top 10 for Large Language Model Apps (Part of the GenAI Security Project),ai|appsec|llm|llm-security,"{""matched_paths"": [""Archive/2_0_candidates/JohnSotiropoulos_VulnerableAutonomousAgents.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,EXCLUDE,high,readme,Repository serves as documentation for tracking security threats across Large Language Model frameworks.,
OfficeDev/microsoft-365-agents-toolkit-samples,https://github.com/OfficeDev/microsoft-365-agents-toolkit-samples,489,TypeScript,Scenario-focused sample applications that help you get started with building Microsoft Teams App.,,"{""matched_paths"": [""ProxyAgent-Python/copilot-instructions.md""], ""queries"": [""copilot-instructions.md""]}",.github/workflows,tags=1; releases=0,EXCLUDE,high,"readme,file_tree",Repository is an educational sandbox collection providing sample code patterns for Microsoft 365 services.,
OpenCSGs/csghub-server,https://github.com/OpenCSGs/csghub-server,1070,Go,"csghub-server is the backend server for CSGHub which helps user to manage datasets, modes, and also run Model Inference, Finetune and Application Spaces.",ai|datasets|golang|huggingface|llm|models|platform,"{""matched_paths"": [""builder/store/database/migrations/20260513000000_add_guard_llm_system_prompt_to_prompt_prefixes.up.sql""], ""queries"": [""system_prompt.*""]}",.gitlab-ci.yml; go.mod,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,dependencies","Repository acts as a foundational backend registry system explicitly serving datasets, configurations, and models to AI teams.",
OtterMind/youclaw,https://github.com/OtterMind/youclaw,718,TypeScript,"🦞 Your AI Personal Assistant.  An intelligent assistant with memory, skills, and scheduled tasks that truly understands you . Helping you tackle everything in work and life.",ai|ai-agent|claude|claude-code|openclaw,"{""matched_paths"": [""prompts/env.md""], ""queries"": [""prompts/""]}",.github/workflows; tests/,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,instruction_consumption",Repository provides a localized multi-turn autonomous agent architecture system consuming prompt schemas to handle tasks.,
OvertliDS/overtli-studio-suite,https://github.com/OvertliDS/overtli-studio-suite,14,Python,"A ComfyUI suite of nodes for Pollinations, LM Studio, Copilot CLI, and OpenAI-compatible generation with prompt enhancing, image gen, video gen, speech/audio gen, for local/cloud multi-engine workflows.",ai|comfyui|comfyui-api|comfyui-custom-node|comfyui-nodes|copilot-cli|github-copilot|github-copilot-cli|image-generation|llm|lm-studio|openai-compatible|overtlids|pollinations-ai|prompt-enhancement|speech-to-text|text-to-audio|text-to-music|text-to-speech|video-generation,"{""matched_paths"": [""instruction_modes/system_prompts.py""], ""queries"": [""system_prompt.*""]}",.github/workflows; pytest.ini,tags=1; releases=0,AI_PRODUCT,high,"readme,file_tree,dependencies",Repository builds specialized pipeline components and generation node sets for ComfyUI model developers.,
Owl-Listener/ai-design-skills,https://github.com/Owl-Listener/ai-design-skills,125,Python,"AI Design Skills Collection: agentic skills, commands, and plugins for designing AI products — from interaction patterns to alignment, evaluation, agent orchestration, and prompt architecture.",,"{""matched_paths"": [""gemini-extension/model-interaction-design/GEMINI.md""], ""queries"": [""GEMINI.md""]}",.github/workflows,,AI_PRODUCT,high,"readme,file_tree",Repository functions as a modular agent capability engine providing specific programmatic skills for AI platform frameworks.,
Oyl-Wallet/oyl-amm,https://github.com/Oyl-Wallet/oyl-amm,11,Rust,,,"{""matched_paths"": ["".clinerules""], ""queries"": ["".clinerules""]}",.github/workflows; Cargo.toml,tags=1; releases=1,CONVENTIONAL_SOFTWARE,high,"readme,dependencies",Repository is an automated decentralized token automated market maker (AMM) financial script solution.,
Paperspace/cli,https://github.com/Paperspace/cli,12,TypeScript,The CLI for Paperspace ,ai|cli|cloud|gpu|llm|paperspace,"{""matched_paths"": [""prompts/confirm.ts""], ""queries"": [""prompts/""]}",.github/workflows; test/,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree",Repository details a terminal infrastructure management CLI deployed by developers managing high-performance remote AI/GPU computational nodes.,
Peuqui/AIfred-Intelligence,https://github.com/Peuqui/AIfred-Intelligence,32,Python,"🤵 AIfred-Intelligence — self-hosted Multi-Agent Assistant with Debate Modes (Symposion/Tribunal), Voice (STT + Streaming-TTS), RAG with Long-Term Memory, Web Research and Tool-Calling. Reachable via Web-UI or Telegram/Discord/Email/EPIM. Multi-Backend: llama-swap, Ollama, vLLM, TabbyAPI.",ai|ai-assistant|chain-of-thought|chatbot|chromadb|llm|local-llm|multi-agent|ocr|ollama|python|rag|reflex|self-hosted|text-to-speech|tts|voice-assistant|voice-cloning|web-scraping|whisper,"{""matched_paths"": [""prompts/de/codine/memory_context.txt"", ""prompts/en/hal/identity.txt"", ""prompts/en/shared/workspace_instructions.txt""], ""queries"": [""prompts/""]}",.github/workflows; tests/,tags=1; releases=0,AI_PRODUCT,high,"readme,file_tree,instruction_consumption",Repository runs an advanced orchestration server combining multi-agent frameworks with contextual multi-backend LLM clusters.,
PlanExeOrg/PlanExe,https://github.com/PlanExeOrg/PlanExe,384,Python,Create a plan from a description in minutes,agi|ai|ai-planning|llamaindex|mcp|ollama|openrouter|pddl|planner|planning|planning-algorithms|pmbok,"{""matched_paths"": [""experiments/napkin_math/.claude/skills/generate-calculations/system-prompt.txt""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=0,AI_PRODUCT,high,"readme,file_tree,dependencies",Repository provides an algorithmic AI workflow engine for automated planning via Model Context Protocol integrations.,
Prismer-AI/Prismer,https://github.com/Prismer-AI/Prismer,781,TypeScript,Open Source Research Claw,,"{""matched_paths"": [""CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree",Repository creates an open autonomous exploration engine driving dynamic AI research agent cycles.,
ROCm/hipDNN,https://github.com/ROCm/hipDNN,57,C++,[DEPRECATED] Moved to ROCm/rocm-libraries repo,,"{""matched_paths"": ["".clinerules""], ""queries"": ["".clinerules""]}",tests/,tags=1; releases=1,CONVENTIONAL_SOFTWARE,high,"readme,file_tree",Repository is a foundational low-level hardware computing matrix library built for AMD ROCm platforms.,
RYOITABASHI/Shelly,https://github.com/RYOITABASHI/Shelly,33,TypeScript,"AI-powered chat-first terminal IDE for Android. Built entirely on a phone, by someone who can't write code.",ai|android|chat-ui|claude|claude-code|expo|gemini-cli|ide|kotlin|llm|mobile-development|open-source|react-native|terminal|termux|typescript|vibe-coding,"{""matched_paths"": [""lib/shelly-system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows; __tests__/,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,instruction_consumption",Repository implements a mobile workspace terminal application built explicitly around conversational AI model automation layers.,
