Title,Authors,Venue,Year,DOI,URL,Research area,How it relates to our paper,Verified
PyDriller: Python framework for mining software repositories,"Spadini, Davide; Aniche, Maurício; Bacchelli, Alberto",Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,2018,10.1145/3236024.3264598,https://doi.org/10.1145/3236024.3264598,MSR methodology; AI-assisted repository mining,Tooling that lowers mining cost; does not address sample-target validity after discovery.,YES
"Identifying, categorizing and mitigating threats to validity in software engineering secondary studies","Ampatzoglou, Apostolos et al.",Information and Software Technology,2019,10.1016/j.infsof.2018.10.006,https://doi.org/10.1016/j.infsof.2018.10.006,Threats to validity; Reporting guidelines,"Taxonomy and mitigation of ToV in secondary studies; transferable discipline, but not operationalized for instruction-artifact frame audits.",YES
Threats to validity in software engineering research: A critical reflection,"Verdecchia, Roberto et al.",Information and Software Technology,2023,10.1016/j.infsof.2023.107329,https://doi.org/10.1016/j.infsof.2023.107329,Threats to validity; Construct validity,Critical reflection on how SE papers treat ToV; argues for better construct alignment. Does not provide an empirical contamination protocol for AI-instruction discovery.,YES
Views on Internal and External Validity in Empirical Software Engineering,"Siegmund, Janet; Siegmund, Norbert; Apel, Sven",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,2015,10.1109/ICSE.2015.24,https://doi.org/10.1109/ICSE.2015.24,Construct validity; Threats to validity,"Shows community disagreement on validity priorities; supports our emphasis on stating analytic targets, but not a mining-frame audit.",YES
Experimentation in Software Engineering,"Wohlin, Claes et al.",Springer book,2012,10.1007/978-3-642-29044-2,https://doi.org/10.1007/978-3-642-29044-2,Reporting guidelines; Construct validity,"Canonical experimental validity framework; foundational, not specific to GitHub instruction-artifact frames.",YES
Guidelines for conducting and reporting case study research in software engineering,"Runeson, Per; Höst, Martin",Empirical Software Engineering,2008,10.1007/s10664-008-9102-8,https://doi.org/10.1007/s10664-008-9102-8,Reporting guidelines; Human annotation,"Case-study reporting guidance including triangulation; informs reporting style, not predicate-family contamination measurement.",YES
Reporting guidelines for controlled experiments in software engineering,"Jedlitschka, A.; Pfahl, D.","2005 International Symposium on Empirical Software Engineering, 2005.",2005,10.1109/ISESE.2005.1541818,https://doi.org/10.1109/ISESE.2005.1541818,Reporting guidelines,Experiment reporting checklist; complementary reporting lineage for our guidance section.,YES
Guidelines for conducting systematic mapping studies in software engineering: An update,"Petersen, Kai; Vakkalanka, Sairam; Kuzniarz, Ludwik",Information and Software Technology,2015,10.1016/j.infsof.2015.03.007,https://doi.org/10.1016/j.infsof.2015.03.007,Reporting guidelines,"Mapping-study process guidelines; relevant to how secondary studies sample venues, not GitHub frame contamination.",YES
Leakage in data mining,"Kaufman, Shachar et al.",ACM Transactions on Knowledge Discovery from Data,2012,10.1145/2382577.2382579,https://doi.org/10.1145/2382577.2382579,Dataset contamination; Benchmark construction,Formalizes train/test leakage in data mining; adjacent concept (information leaking into evaluation) but not population-membership contamination of repository samples.,YES
A unifying view on dataset shift in classification,"Moreno-Torres, Jose G. et al.",Pattern Recognition,2012,10.1016/j.patcog.2011.06.019,https://doi.org/10.1016/j.patcog.2011.06.019,Dataset contamination; Dataset validation,"Taxonomy of dataset shift; explains why mismatched populations break estimators, without a GitHub instruction-frame protocol.",YES
DéjàVu: a map of code duplicates on GitHub,"Lopes, Cristina V. et al.",Proceedings of the ACM on Programming Languages,2017,10.1145/3133908,https://doi.org/10.1145/3133908,Dataset contamination; Sampling bias,"Shows massive code duplication on GitHub that contaminates learning/evaluation corpora; related contamination mechanism (duplication), different from analytic-population mismatch after path search.",YES
The adverse effects of code duplication in machine learning models of code,"Allamanis, Miltiadis","Proceedings of the 2019 ACM SIGPLAN International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software",2019,10.1145/3359591.3359735,https://doi.org/10.1145/3359591.3359735,Dataset contamination; Benchmark construction,"Demonstrates inflated metrics from duplication; motivates decontamination of code datasets, not membership audits for agent-instruction files.",YES
Leakage and the reproducibility crisis in machine-learning-based science,"Kapoor, Sayash; Narayanan, Arvind",Patterns,2023,10.1016/j.patter.2023.100804,https://doi.org/10.1016/j.patter.2023.100804,Dataset contamination; Research artifact reproducibility,Documents leakage-driven reproducibility failures across ML science; strengthens contamination rhetoric but outside SE repository-frame auditing.,YES
Cross-project defect prediction,"Zimmermann, Thomas et al.",Proceedings of the 7th joint meeting of the European software engineering conference and the ACM SIGSOFT symposium on The foundations of software engineering,2009,10.1145/1595696.1595713,https://doi.org/10.1145/1595696.1595713,Dataset contamination; Construct validity,"Shows domain mismatch collapses predictive performance; classic population-mismatch evidence, not instruction-artifact discovery.",YES
Evaluating defect prediction approaches: a benchmark and an extensive comparison,"D’Ambros, Marco; Lanza, Michele; Robbes, Romain",Empirical Software Engineering,2011,10.1007/s10664-011-9173-9,https://doi.org/10.1007/s10664-011-9173-9,SE datasets; Benchmark construction; Dataset validation,"Benchmark with explicit scope and comparison protocol; model for dataset papers, not for AI-instruction frame contamination.",YES
Data Quality: Some Comments on the NASA Software Defect Datasets,"Shepperd, Martin et al.",IEEE Transactions on Software Engineering,2013,10.1109/TSE.2013.11,https://doi.org/10.1109/TSE.2013.11,Dataset validation; Metadata quality,Shows shared datasets can be corrupted; motivates validation before analysis. Different data modality than GitHub instruction frames.,YES
Researcher Bias: The Use of Machine Learning in Software Defect Prediction,"Shepperd, Martin; Bowes, David; Hall, Tracy",IEEE Transactions on Software Engineering,2014,10.1109/TSE.2014.2322358,https://doi.org/10.1109/TSE.2014.2322358,Dataset validation; Construct validity,"Documents researcher/process bias in ML-for-SE; supports skepticism of unvalidated pipelines, not our specific audit.",YES
The impact of tangled code changes,"Herzig, Kim; Zeller, Andreas",2013 10th Working Conference on Mining Software Repositories (MSR),2013,10.1109/MSR.2013.6624018,https://doi.org/10.1109/MSR.2013.6624018,Construct validity; Dataset contamination,"Shows tangled commits threaten construct validity of change-based labels; analogous validity lesson, different construct.",YES
Problems with SZZ and features: An empirical study of the state of practice of defect prediction data collection,"Herbold, Steffen et al.",Empirical Software Engineering,2022,10.1007/s10664-021-10092-4,https://doi.org/10.1007/s10664-021-10092-4,Dataset construction; Dataset validation; Human annotation,"Manual validation reveals widespread labeling/process failures in defect datasets; closest dataset-validation cousin, still not instruction-artifact membership.",YES
An Empirical Comparison of Model Validation Techniques for Defect Prediction Models,"Tantithamthavorn, Chakkrit et al.",IEEE Transactions on Software Engineering,2017,10.1109/TSE.2016.2584050,https://doi.org/10.1109/TSE.2016.2584050,Dataset validation; Benchmark construction,"Shows validation technique choice changes conclusions; supports sensitivity analysis ethos (our consensus-protocol sensitivity), different estimand.",YES
Understanding the Factors That Impact the Popularity of GitHub Repositories,"Borges, Hudson; Hora, Andre; Valente, Marco Tulio",2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),2016,10.1109/ICSME.2016.31,https://doi.org/10.1109/ICSME.2016.31,Metadata quality; Sampling bias,"Stars/forks as popularity proxies are fragile; warns against metadata-only ranking, relevant to sparsity analyses but not contamination labeling.",YES
Influence of social and technical factors for evaluating contribution in GitHub,"Tsay, Jason; Dabbish, Laura; Herbsleb, James",Proceedings of the 36th International Conference on Software Engineering,2014,10.1145/2568225.2568315,https://doi.org/10.1145/2568225.2568315,Metadata quality,"Social signals shape contribution evaluation; metadata interpretation caveat, not frame auditing.",YES
A ground-truth dataset and classification model for detecting bots in GitHub issue and PR comments,"Golzadeh, Mehdi et al.",Journal of Systems and Software,2021,10.1016/j.jss.2021.110911,https://doi.org/10.1016/j.jss.2021.110911,Metadata quality; Dataset construction; Human annotation,"Ground-truth + model for bot accounts; exemplifies membership labeling for a GitHub entity class, different class than instruction-artifact population membership.",YES
On the reproducibility of empirical software engineering studies based on data retrieved from development repositories,"González-Barahona, Jesús M.; Robles, Gregorio",Empirical Software Engineering,2011,10.1007/s10664-011-9181-9,https://doi.org/10.1007/s10664-011-9181-9,Research artifact reproducibility; Replication packages,"Early analysis of reproducibility barriers in repository studies; motivates checkpointed mining, not contamination estimands.",YES
Revisiting the reproducibility of empirical software engineering studies based on data retrieved from development repositories,"Gonzalez-Barahona, Jesus M.; Robles, Gregorio",Information and Software Technology,2023,10.1016/j.infsof.2023.107318,https://doi.org/10.1016/j.infsof.2023.107318,Research artifact reproducibility,Updated reproducibility assessment; still focuses on retrieval repeatability rather than sample-target contamination audits.,YES
"Publish or perish, but do not forget your software artifacts","Heumüller, Robert et al.",Empirical Software Engineering,2020,10.1007/s10664-020-09851-6,https://doi.org/10.1007/s10664-020-09851-6,Research artifact reproducibility; Replication packages,"Documents scarce/unavailable artifacts; motivates our replication package, does not define contamination audits.",YES
Research artifacts in software engineering publications: Status and trends,"Liu, Mugeng et al.",Journal of Systems and Software,2024,10.1016/j.jss.2024.112032,https://doi.org/10.1016/j.jss.2024.112032,Research artifact reproducibility; Replication packages,"Status/trends of SE research artifacts; supports artifact expectations for IST/JSS, not our substantive audit method.",YES
A retrospective study of one decade of artifact evaluations,"Winter, Stefan et al.",Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,2022,10.1145/3540250.3549172,https://doi.org/10.1145/3540250.3549172,Research artifact reproducibility,Decade of artifact evaluation practice; normative pressure for replayability.,YES
Replication of empirical studies in software engineering research: a systematic mapping study,"da Silva, Fabio Q. B. et al.",Empirical Software Engineering,2012,10.1007/s10664-012-9227-7,https://doi.org/10.1007/s10664-012-9227-7,Replication packages; Reporting guidelines,"Maps replication practice in SE; supports releasing alternative-protocol replay, not the audit itself.",YES
A Coefficient of Agreement for Nominal Scales,"Cohen, Jacob",Educational and Psychological Measurement,1960,10.1177/001316446002000104,https://doi.org/10.1177/001316446002000104,Human annotation; Consensus annotation,"Canonical chance-corrected agreement; measurement tool for disagreement, not a contamination theory.",YES
The Measurement of Observer Agreement for Categorical Data,"Landis, J. Richard; Koch, Gary G.",Biometrics,1977,10.2307/2529310,https://doi.org/10.2307/2529310,Human annotation; Consensus annotation,"Agreement interpretation benchmarks; used in annotation reporting, not frame design.",YES
ChatGPT outperforms crowd workers for text-annotation tasks,"Gilardi, Fabrizio; Alizadeh, Meysam; Kubli, Maël",Proceedings of the National Academy of Sciences,2023,10.1073/pnas.2305016120,https://doi.org/10.1073/pnas.2305016120,LLM-assisted annotation,Shows LLMs can annotate text competitively; does not study repository membership labels or consensus-protocol sensitivity of contamination rates.,YES
Can LLMs Replace Manual Annotation of Software Engineering Artifacts?,"Ahmed, Toufique et al.",2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),2025,10.1109/MSR66628.2025.00086,https://doi.org/10.1109/MSR66628.2025.00086,LLM-assisted annotation; Human annotation,"Evaluates LLMs as annotators of SE artifacts; closest SE annotation study, but not about discovery-frame contamination or predicate families.",YES
Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,"Zheng, Lianmin et al.",Advances in Neural Information Processing Systems 36,2023,10.52202/075280-2020,https://doi.org/10.52202/075280-2020,LLM-assisted annotation; Benchmark construction,"Evaluates LLM-as-judge reliability; relevant if LLMs adjudicate labels, does not solve human-consensus sensitivity for GitHub frame membership.",YES
Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation,"Fantechi, Alessandro et al.",2023 IEEE 31st International Requirements Engineering Conference (RE),2023,10.1109/RE57278.2023.00045,https://doi.org/10.1109/RE57278.2023.00045,LLM-assisted annotation; AI-assisted repository mining,"Early LLM-for-RE labeling/detection; domain-specific, weak on mining-frame validity.",YES
Guidelines for Human-AI Interaction,"Amershi, Saleema et al.",Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,2019,10.1145/3290605.3300233,https://doi.org/10.1145/3290605.3300233,LLM-assisted annotation; AI instruction artifacts,HCI guidelines for human-AI systems; informs human-in-the-loop annotation design only at a high level.,YES
Large Language Models for Software Engineering: A Systematic Literature Review,"Hou, Xinyi et al.",ACM Transactions on Software Engineering and Methodology,2024,10.1145/3695988,https://doi.org/10.1145/3695988,AI-assisted repository mining; AI instruction artifacts,"Broad LLM4SE map; documents rising LLM use including mining/annotation, without frame-contamination audits.",YES
Large Language Models for Software Engineering: Survey and Open Problems,"Fan, Angela et al.",2023 IEEE/ACM International Conference on Software Engineering: Future of Software Engineering (ICSE-FoSE),2023,10.1109/ICSE-FoSE59343.2023.00008,https://doi.org/10.1109/ICSE-FoSE59343.2023.00008,AI-assisted repository mining,"Survey/open problems; situates opportunity, not a method for sample-target auditing.",YES
Promptware Engineering: Software Engineering for Prompt-Enabled Systems,"Chen, Zhenpeng et al.",ACM Transactions on Software Engineering and Methodology,2026,10.1145/3796535,https://doi.org/10.1145/3796535,AI instruction artifacts; SE datasets,"Frames prompts/instruction artifacts as SE objects; closest conceptual neighbor for promptware, does not audit GitHub discovery contamination.",YES
Measuring GitHub Copilot's Impact on Productivity,"Ziegler, Albert et al.",Communications of the ACM,2024,10.1145/3633453,https://doi.org/10.1145/3633453,AI instruction artifacts; AI-assisted repository mining,"Productivity effects of Copilot; studies the tool, not repositories selected via Copilot instruction paths.",YES
Grounded Copilot: How Programmers Interact with Code-Generating Models,"Barke, Shraddha; James, Michael B.; Polikarpova, Nadia",Proceedings of the ACM on Programming Languages,2023,10.1145/3586030,https://doi.org/10.1145/3586030,AI instruction artifacts,Interaction study of Copilot use; not sampling methodology.,YES
Expectation vs. Experience: Evaluating the Usability of Code Generation Tools Powered by Large Language Models,"Vaithilingam, Priyan; Zhang, Tianyi; Glassman, Elena L.",CHI Conference on Human Factors in Computing Systems Extended Abstracts,2022,10.1145/3491101.3519665,https://doi.org/10.1145/3491101.3519665,AI instruction artifacts,Usability of code generation tools; phenomenon context only.,YES
Disrupting developer productivity one bot at a time,"Storey, Margaret-Anne; Zagalsky, Alexey",Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,2016,10.1145/2950290.2983989,https://doi.org/10.1145/2950290.2983989,AI-assisted repository mining,"Bots in development workflows; early automation context, tangential to instruction-file frames.",YES
Generative AI for Requirements Engineering: A Systematic Literature Review,"Cheng, Haowei et al.",Software: Practice and Experience,2025,10.1002/spe.70029,https://doi.org/10.1002/spe.70029,AI-assisted repository mining; LLM-assisted annotation,"GenAI-for-RE SLR; adjacent LLM-for-SE evidence, weak for mining-frame validity claims.",YES
ACM SIGSOFT Empirical Standards Released,"Ralph, Paul",ACM SIGSOFT Software Engineering Notes,2021,10.1145/3437479.3437483,https://doi.org/10.1145/3437479.3437483,Reporting guidelines,"Announces community empirical standards; reporting pressure, not an audit method. (Standards living document is separate from this announcement.)",YES
SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,"Jimenez, Carlos E. et al.",ICLR,2024,,https://openreview.net/forum?id=VTF8yNQM66,Benchmark construction; SE datasets; Dataset contamination,Influential benchmark from GitHub issues; discusses construction/filtering of tasks. Does not audit instruction-file discovery frames. Verified via OpenReview/arXiv:2310.06770 (no Crossref DOI at audit time).,YES-OPENREVIEW
AGENTS.md: Open format for repository agent context,Agentic AI Foundation,Web standard,2025,,https://agents.md/,AI instruction artifacts,Primary specification of an instruction-file format used as a discovery predicate; not a methodological audit.,YES-URL
Introducing the Model Context Protocol,Anthropic,Product note,2024,,https://www.anthropic.com/news/model-context-protocol,AI instruction artifacts,"Defines MCP tooling interfaces; documents the artifact ecosystem, not sampling validity.",YES-URL
Adding repository custom instructions for GitHub Copilot,GitHub,Docs,2024,,https://docs.github.com/en/copilot/customizing-copilot/adding-repository-custom-instructions-for-github-copilot,AI instruction artifacts,Documents Copilot instruction paths used as search predicates; not an empirical frame audit.,YES-URL
Claude Code: Memory and project configuration,Anthropic,Docs,2024,,https://docs.anthropic.com/en/docs/claude-code/memory,AI instruction artifacts,Documents Claude project memory/instruction files; phenomenon source only.,YES-URL
Rules for AI: Project rules in Cursor,Cursor,Docs,2024,,https://cursor.com/docs/rules,AI instruction artifacts,Documents Cursor rules paths; phenomenon source only.,YES-URL
